state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
MS,4/8/2021,9,11,230,180,12,4
MT,4/8/2021,6,7,39,39,0,0
NC,4/8/2021,3,4,"1,009",922,29,21
ND,4/8/2021,11,11,86,61,7,0
NE,4/8/2021,8,16,188,170,3,2
NH,4/8/2021,3,4,108,96,0,0
NJ,4/8/2021,7,8,"2,420","2,238",37,8
NM,4/8/2021,15,17,112,102,9,3
NV,4/8/2021,0,0,310,258,1,2
NY,4/8/2021,4,5,"5,072","4,523",100,53
OH,4/8/2021,11,17,"1,583","1,197",110,19
OK,4/8/2021,27,31,265,214,28,26
OR,4/8/2021,1,2,236,169,15,7
PA,4/8/2021,18,25,"2,842","2,503",53,38
PR,4/8/2021,4,6,330,278,36,18
RI,4/8/2021,4,4,180,146,1,1
SC,4/8/2021,21,21,504,462,6,4
SD,4/8/2021,0,1,94,68,3,0
TN,4/8/2021,13,30,916,811,18,14
TX,4/8/2021,109,121,"3,269","2,805",100,45
UT,4/8/2021,0,0,132,123,6,0
VA,4/8/2021,15,20,"1,047",894,20,10
VI,4/8/2021,2,2,6,6,0,0
VT,4/8/2021,1,1,30,28,0,0
WA,4/8/2021,11,9,609,383,24,6
WI,4/8/2021,9,12,351,324,6,1
WV,4/8/2021,12,15,305,288,3,3
WY,4/8/2021,3,4,24,15,1,1
AK,4/7/2021,1,1,39,37,5,1
AL,4/7/2021,28,30,407,327,10,4
AR,4/7/2021,16,19,188,123,10,0
AZ,4/7/2021,24,26,578,368,21,10
CA,4/7/2021,72,83,"2,271","1,960",55,41
CO,4/7/2021,7,6,458,400,29,11
CT,4/7/2021,4,4,590,526,7,5
DC,4/7/2021,0,0,183,132,29,12
DE,4/7/2021,1,1,197,144,5,2
FL,4/7/2021,9,29,"3,418","3,096",52,40
GA,4/7/2021,29,36,"1,384","1,109",40,5
HI,4/7/2021,1,2,59,50,0,0
IA,4/7/2021,2,2,229,219,2,0
ID,4/7/2021,4,4,159,147,1,1
IL,4/7/2021,12,11,"1,814","1,524",39,12
IN,4/7/2021,11,11,793,485,12,4
KS,4/7/2021,14,15,190,146,5,2
KY,4/7/2021,0,4,398,326,13,4
LA,4/7/2021,42,46,280,344,1,0
MA,4/7/2021,11,9,645,565,27,18
MD,4/7/2021,3,2,"1,463","1,204",15,9
ME,4/7/2021,4,1,97,81,3,1
MI,4/7/2021,3,4,"3,552","3,401",61,43
MN,4/7/2021,14,14,654,563,15,11
MO,4/7/2021,22,26,790,505,45,12
MS,4/7/2021,10,12,226,176,12,4
MT,4/7/2021,6,6,44,41,3,0
NC,4/7/2021,4,4,"1,069",962,26,17
ND,4/7/2021,12,12,84,59,3,0
NE,4/7/2021,8,16,174,164,2,2
NH,4/7/2021,4,5,114,94,0,0
NJ,4/7/2021,7,8,"2,435","2,251",28,9
NM,4/7/2021,14,16,97,88,4,0
NV,4/7/2021,0,0,322,263,5,4
NY,4/7/2021,4,5,"5,121","4,577",106,55
OH,4/7/2021,11,17,"1,527","1,189",100,20
OK,4/7/2021,26,31,289,232,29,27
OR,4/7/2021,2,4,226,169,13,7
PA,4/7/2021,18,20,"2,951","2,560",56,39
PR,4/7/2021,7,8,305,263,28,12
RI,4/7/2021,4,4,192,156,1,1
SC,4/7/2021,21,21,497,465,6,3
SD,4/7/2021,1,2,95,73,2,0
TN,4/7/2021,15,33,930,822,16,13
TX,4/7/2021,107,119,"3,301","2,802",107,47
UT,4/7/2021,0,0,137,122,5,0
VA,4/7/2021,15,19,"1,094",896,17,7
VI,4/7/2021,2,2,6,6,0,0
VT,4/7/2021,2,1,27,26,0,0
WA,4/7/2021,10,8,451,387,10,4
WI,4/7/2021,12,12,346,308,10,1
WV,4/7/2021,12,15,298,280,7,3
WY,4/7/2021,3,4,27,18,1,1
AK,4/6/2021,1,1,38,38,6,2
AL,4/6/2021,25,28,375,314,10,2
AR,4/6/2021,12,14,181,124,2,0
AZ,4/6/2021,25,28,545,342,29,15
CA,4/6/2021,66,79,"2,299","2,001",52,39
CO,4/6/2021,4,5,434,383,18,9
CT,4/6/2021,4,4,587,516,8,3
DC,4/6/2021,0,0,168,135,22,10
DE,4/6/2021,0,0,186,139,2,2
FL,4/6/2021,6,26,"3,422","3,077",49,40
GA,4/6/2021,29,36,"1,328","1,072",31,10
HI,4/6/2021,2,2,59,47,3,0
IA,4/6/2021,2,2,222,216,0,0
ID,4/6/2021,3,3,222,195,5,1
IL,4/6/2021,12,11,"1,740","1,505",29,12
IN,4/6/2021,12,11,770,529,24,4
KS,4/6/2021,13,14,174,145,3,2
KY,4/6/2021,0,3,388,335,14,3
LA,4/6/2021,42,46,285,337,2,1
MA,4/6/2021,7,6,658,572,15,9
MD,4/6/2021,4,2,"1,433","1,171",18,10
ME,4/6/2021,3,2,93,80,2,1
MI,4/6/2021,5,4,"3,479","3,299",49,36
MN,4/6/2021,15,15,613,539,8,6
MO,4/6/2021,20,24,769,487,38,9
MS,4/6/2021,12,12,234,168,16,4
MT,4/6/2021,6,6,40,41,2,0
NC,4/6/2021,4,4,998,931,23,13
ND,4/6/2021,10,10,80,55,6,1
NE,4/6/2021,8,16,163,148,1,1
NH,4/6/2021,4,5,108,92,3,1
NJ,4/6/2021,6,6,"2,404","2,252",31,8
NM,4/6/2021,14,15,88,81,7,0
NV,4/6/2021,0,0,298,261,2,4
NY,4/6/2021,4,5,"5,148","4,610",97,54
OH,4/6/2021,12,17,"1,411","1,109",95,22
OK,4/6/2021,25,29,306,250,31,28
OR,4/6/2021,2,2,224,157,14,7
PA,4/6/2021,16,21,"2,809","2,491",52,34
PR,4/6/2021,0,0,277,248,35,13
RI,4/6/2021,4,4,190,157,2,2
SC,4/6/2021,20,20,501,476,6,4
SD,4/6/2021,1,2,83,64,5,2
TN,4/6/2021,15,33,910,823,15,13
TX,4/6/2021,101,119,"3,385","2,858",93,53
UT,4/6/2021,0,0,143,127,4,0
VA,4/6/2021,15,20,"1,053",860,19,10
VI,4/6/2021,2,2,5,5,0,0
VT,4/6/2021,1,1,27,25,2,0
WA,4/6/2021,10,9,477,389,11,2
WI,4/6/2021,11,11,337,304,7,2
WV,4/6/2021,12,14,312,275,3,2
WY,4/6/2021,4,4,25,19,1,0
AK,4/5/2021,1,1,40,39,5,1
AL,4/5/2021,28,29,377,314,14,2
AR,4/5/2021,15,18,165,123,2,0
AZ,4/5/2021,27,28,508,344,12,8
CA,4/5/2021,67,79,"2,275","1,948",53,36
CO,4/5/2021,5,6,403,353,19,6
CT,4/5/2021,4,4,561,510,6,3
DC,4/5/2021,0,0,156,130,27,8
DE,4/5/2021,0,0,175,135,3,3
FL,4/5/2021,9,29,"3,282","2,997",39,36
GA,4/5/2021,29,36,"1,285","1,072",32,12
HI,4/5/2021,1,2,48,44,1,0
IA,4/5/2021,2,1,221,216,2,1
ID,4/5/2021,3,3,161,155,0,0
IL,4/5/2021,9,11,"1,603","1,433",38,16
IN,4/5/2021,9,9,709,487,10,0
KS,4/5/2021,12,13,165,141,2,1
KY,4/5/2021,0,4,381,328,17,4
LA,4/5/2021,43,46,281,340,6,1
MA,4/5/2021,7,6,636,550,40,10
MD,4/5/2021,2,2,"1,436","1,171",21,11
ME,4/5/2021,3,3,106,89,1,1
MI,4/5/2021,3,3,"3,277","3,103",44,31
MN,4/5/2021,16,15,586,499,9,6
MO,4/5/2021,20,24,682,459,41,10
MS,4/5/2021,10,12,218,168,11,4
MT,4/5/2021,6,6,33,34,0,0
NC,4/5/2021,4,4,983,928,25,16
ND,4/5/2021,9,9,86,51,9,2
NE,4/5/2021,8,16,161,143,2,1
NH,4/5/2021,4,5,98,88,3,1
NJ,4/5/2021,7,7,"2,359","2,237",26,7
NM,4/5/2021,14,15,88,83,7,0
NV,4/5/2021,0,0,314,255,3,4
NY,4/5/2021,4,5,"5,279","4,664",97,50
OH,4/5/2021,11,17,"1,401","1,079",114,23
OK,4/5/2021,28,32,296,249,32,26
OR,4/5/2021,2,2,233,172,10,5
PA,4/5/2021,17,23,"2,664","2,364",47,29
PR,4/5/2021,0,0,250,228,38,14
RI,4/5/2021,3,3,185,152,3,3
SC,4/5/2021,20,20,502,463,3,3
SD,4/5/2021,1,2,85,67,7,1
TN,4/5/2021,13,31,853,783,16,12
TX,4/5/2021,105,125,"3,216","2,819",92,58
UT,4/5/2021,0,0,131,121,4,0
VA,4/5/2021,17,21,"1,055",875,21,11
VI,4/5/2021,2,2,4,4,0,0
VT,4/5/2021,1,1,24,24,0,0
WA,4/5/2021,11,10,476,402,8,1
WI,4/5/2021,9,10,300,273,8,2
WV,4/5/2021,13,15,270,260,2,1
WY,4/5/2021,4,4,21,17,0,0
AK,4/4/2021,1,1,36,35,0,0
AL,4/4/2021,26,28,443,338,16,8
AR,4/4/2021,15,18,159,120,9,1
AZ,4/4/2021,26,28,548,355,19,10
CA,4/4/2021,75,85,"2,349","1,998",61,44
CO,4/4/2021,6,6,391,337,26,12
CT,4/4/2021,4,4,527,482,7,4
DC,4/4/2021,0,0,152,131,21,7
DE,4/4/2021,1,1,175,137,5,4
FL,4/4/2021,10,30,"3,242","2,928",40,29
GA,4/4/2021,28,35,"1,240","1,061",34,11
HI,4/4/2021,1,1,53,42,2,0
IA,4/4/2021,2,2,219,204,2,1
ID,4/4/2021,4,4,167,154,1,0
IL,4/4/2021,10,11,"1,602","1,357",39,16
IN,4/4/2021,11,11,714,483,11,2
KS,4/4/2021,11,15,176,146,4,2
KY,4/4/2021,0,3,372,321,12,5
LA,4/4/2021,41,46,272,338,4,1
MA,4/4/2021,10,9,647,551,14,11
MD,4/4/2021,3,3,"1,418","1,156",20,11
ME,4/4/2021,1,2,99,81,3,2
MI,4/4/2021,4,3,"3,083","2,919",39,23
