state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
AL,1/20/2021,38,43,"2,893","2,695",24,20
AR,1/20/2021,16,17,"1,223","1,103",13,5
AZ,1/20/2021,34,40,"4,779","4,286",46,28
CA,1/20/2021,170,186,"20,262","19,647",210,170
CO,1/20/2021,5,8,828,754,36,13
CT,1/20/2021,4,4,"1,262","1,099",10,7
DC,1/20/2021,0,0,351,292,37,15
DE,1/20/2021,1,2,471,454,5,4
FL,1/20/2021,9,36,"7,864","7,402",68,50
GA,1/20/2021,40,45,"5,867","5,571",68,30
HI,1/20/2021,3,3,117,102,2,0
IA,1/20/2021,3,5,534,464,6,2
ID,1/20/2021,4,5,250,244,2,2
IL,1/20/2021,19,20,"3,351","2,799",47,17
IN,1/20/2021,20,23,"2,263","1,883",36,20
KS,1/20/2021,13,22,808,731,5,3
KY,1/20/2021,2,7,"1,698","1,601",20,4
LA,1/20/2021,46,49,"1,600","1,749",16,8
MA,1/20/2021,12,15,"2,056","1,851",28,13
MD,1/20/2021,2,2,"2,161","1,720",19,11
ME,1/20/2021,3,2,238,200,2,2
MI,1/20/2021,23,25,"1,978","1,828",30,22
MN,1/20/2021,19,20,650,564,13,8
MO,1/20/2021,22,32,"2,189","1,912",75,33
MS,1/20/2021,16,18,"1,236","1,063",18,8
MT,1/20/2021,9,8,150,141,4,1
NC,1/20/2021,4,6,"3,664","3,469",37,22
ND,1/20/2021,19,17,141,101,7,2
NE,1/20/2021,10,20,450,432,14,10
NH,1/20/2021,6,8,291,237,4,4
NJ,1/20/2021,10,10,"3,558","3,277",35,15
NM,1/20/2021,18,19,713,658,9,5
NV,1/20/2021,0,0,"1,642","1,536",5,7
NY,1/20/2021,9,9,"9,913","9,300",130,57
OH,1/20/2021,29,49,"3,964","3,652",83,37
OK,1/20/2021,42,50,"1,541","1,539",74,69
OR,1/20/2021,3,2,437,367,8,4
PA,1/20/2021,29,29,"5,099","4,528",58,34
PR,1/20/2021,8,9,310,268,24,6
RI,1/20/2021,6,6,416,377,7,7
SC,1/20/2021,27,23,"2,323","2,198",19,12
SD,1/20/2021,2,2,189,173,0,0
TN,1/20/2021,31,50,"2,593","2,496",46,39
TX,1/20/2021,153,195,"14,151","13,614",171,126
UT,1/20/2021,1,1,589,518,13,0
VA,1/20/2021,23,31,"2,923","2,573",29,11
VI,1/20/2021,1,2,1,1,0,0
VT,1/20/2021,1,1,45,44,0,0
WA,1/20/2021,8,8,856,790,29,12
WI,1/20/2021,24,28,986,931,6,2
WV,1/20/2021,23,26,725,682,6,3
WY,1/20/2021,4,5,91,84,0,0
AK,1/19/2021,1,1,47,46,1,1
AL,1/19/2021,35,40,"2,821","2,751",36,11
AR,1/19/2021,15,15,"1,193","1,113",14,7
AZ,1/19/2021,27,35,"4,639","4,213",43,24
CA,1/19/2021,168,190,"20,540","19,994",184,159
CO,1/19/2021,6,6,858,768,20,13
CT,1/19/2021,4,4,"1,264","1,134",13,8
DC,1/19/2021,0,0,337,307,33,10
DE,1/19/2021,1,1,470,456,4,3
FL,1/19/2021,6,34,"7,957","7,526",50,41
GA,1/19/2021,41,47,"5,922","5,655",72,31
HI,1/19/2021,3,3,127,102,1,1
IA,1/19/2021,4,4,497,468,7,5
ID,1/19/2021,3,3,271,267,2,2
IL,1/19/2021,15,15,"3,295","2,813",52,22
IN,1/19/2021,18,22,"2,273","1,945",17,8
KS,1/19/2021,11,16,830,753,4,3
KY,1/19/2021,0,4,"1,702","1,605",16,2
LA,1/19/2021,45,47,"1,623","1,807",17,10
MA,1/19/2021,10,10,"2,001","1,828",26,19
MD,1/19/2021,4,3,"2,148","1,722",21,12
ME,1/19/2021,3,2,218,197,2,2
MI,1/19/2021,22,25,"2,021","1,853",26,24
MN,1/19/2021,22,22,665,574,14,8
MO,1/19/2021,26,32,"2,244","1,954",84,36
MS,1/19/2021,14,16,"1,219","1,051",16,11
MT,1/19/2021,13,11,161,153,3,1
NC,1/19/2021,5,6,"3,663","3,456",32,19
ND,1/19/2021,16,16,143,104,5,2
NE,1/19/2021,10,20,463,436,19,14
NH,1/19/2021,4,7,276,243,2,0
NJ,1/19/2021,7,8,"3,654","3,386",28,10
NM,1/19/2021,19,20,692,618,6,4
NV,1/19/2021,0,0,"1,707","1,588",5,8
NY,1/19/2021,9,10,"10,129","9,501",120,61
OH,1/19/2021,26,50,"4,041","3,735",97,35
OK,1/19/2021,44,53,"1,840","1,833",75,71
OR,1/19/2021,2,1,422,345,7,5
PA,1/19/2021,28,32,"5,055","4,619",61,30
PR,1/19/2021,0,0,334,296,25,6
RI,1/19/2021,6,6,420,382,2,2
SC,1/19/2021,26,22,"2,286","2,200",11,9
SD,1/19/2021,3,3,187,171,4,1
TN,1/19/2021,31,50,"2,746","2,655",38,35
TX,1/19/2021,154,197,"14,442","13,881",167,126
UT,1/19/2021,0,0,577,524,16,0
VA,1/19/2021,24,32,"2,950","2,611",29,15
VI,1/19/2021,1,2,1,1,0,0
VT,1/19/2021,1,1,43,41,0,0
WA,1/19/2021,7,9,932,855,13,9
WI,1/19/2021,24,31,"1,017",952,3,2
WV,1/19/2021,22,25,696,697,8,1
WY,1/19/2021,4,5,103,88,1,0
AK,1/18/2021,1,1,54,50,1,1
AL,1/18/2021,38,42,"2,927","2,821",21,16
AR,1/18/2021,15,15,"1,193","1,124",16,8
AZ,1/18/2021,30,36,"4,721","4,354",30,21
CA,1/18/2021,166,191,"20,719","20,149",178,152
CO,1/18/2021,6,6,875,800,28,14
CT,1/18/2021,4,4,"1,264","1,144",7,4
DC,1/18/2021,0,0,333,307,43,10
DE,1/18/2021,1,1,467,452,3,3
FL,1/18/2021,8,35,"7,988","7,598",49,41
GA,1/18/2021,39,47,"5,961","5,702",71,33
HI,1/18/2021,3,3,130,112,5,4
IA,1/18/2021,5,7,525,488,8,2
ID,1/18/2021,3,3,283,277,3,3
IL,1/18/2021,16,17,"3,334","2,869",45,21
IN,1/18/2021,18,23,"2,276","1,980",27,14
KS,1/18/2021,11,18,851,779,3,1
KY,1/18/2021,1,3,"1,659","1,551",21,5
LA,1/18/2021,45,48,"1,681","1,860",16,10
MA,1/18/2021,9,9,"2,040","1,847",32,20
MD,1/18/2021,4,3,"2,144","1,761",23,10
ME,1/18/2021,3,3,223,191,2,2
MI,1/18/2021,22,25,"2,109","1,902",29,22
MN,1/18/2021,21,21,689,583,13,9
MO,1/18/2021,27,34,"2,292","1,986",75,30
MS,1/18/2021,11,15,"1,262","1,091",10,8
MT,1/18/2021,10,10,171,163,2,1
NC,1/18/2021,5,6,"3,732","3,570",39,24
ND,1/18/2021,18,17,156,111,4,2
NE,1/18/2021,10,20,437,414,18,14
NH,1/18/2021,6,8,270,233,1,0
NJ,1/18/2021,7,8,"3,614","3,383",30,11
NM,1/18/2021,20,19,726,653,15,4
NV,1/18/2021,0,0,"1,705","1,604",14,16
NY,1/18/2021,9,9,"10,103","9,378",120,61
OH,1/18/2021,30,51,"4,152","3,843",75,36
OK,1/18/2021,42,52,"1,865","1,834",76,68
OR,1/18/2021,1,1,409,348,9,5
PA,1/18/2021,29,34,"5,102","4,703",54,29
PR,1/18/2021,0,0,334,282,25,6
RI,1/18/2021,6,6,417,376,4,4
SC,1/18/2021,26,22,"2,279","2,192",11,11
SD,1/18/2021,2,2,194,178,4,1
TN,1/18/2021,34,53,"2,709","2,657",32,31
TX,1/18/2021,156,192,"14,336","13,885",154,117
UT,1/18/2021,0,1,607,537,14,0
VA,1/18/2021,28,38,"2,962","2,649",28,15
VI,1/18/2021,1,2,1,1,0,0
VT,1/18/2021,2,1,45,45,0,0
WA,1/18/2021,10,10,958,879,14,10
WI,1/18/2021,26,31,"1,006",975,8,3
WV,1/18/2021,21,25,688,680,4,0
WY,1/18/2021,4,5,107,88,1,0
AK,1/17/2021,1,1,51,46,6,6
AL,1/17/2021,40,43,"3,086","2,892",31,21
AR,1/17/2021,20,23,"1,217","1,118",16,11
AZ,1/17/2021,32,35,"4,867","4,432",35,25
CA,1/17/2021,177,195,"20,808","20,253",184,155
CO,1/17/2021,7,7,906,818,26,18
CT,1/17/2021,4,4,"1,285","1,149",4,3
DC,1/17/2021,0,0,331,309,28,8
DE,1/17/2021,2,3,467,446,6,6
FL,1/17/2021,8,35,"8,019","7,597",44,32
GA,1/17/2021,42,48,"6,021","5,729",45,27
HI,1/17/2021,3,3,134,112,4,3
IA,1/17/2021,6,5,512,486,7,4
ID,1/17/2021,4,5,282,277,4,4
IL,1/17/2021,19,18,"3,374","2,895",50,19
IN,1/17/2021,15,24,"2,399","2,038",22,13
KS,1/17/2021,10,18,883,800,4,2
KY,1/17/2021,1,3,"1,682","1,557",15,3
LA,1/17/2021,46,51,"1,661","1,859",18,13
MA,1/17/2021,12,14,"2,069","1,898",29,17
MD,1/17/2021,5,5,"2,189","1,778",16,7
ME,1/17/2021,3,3,225,199,2,2
MI,1/17/2021,22,25,"2,040","1,870",26,21
MN,1/17/2021,18,19,697,594,9,6
MO,1/17/2021,28,35,"2,355","2,039",73,35
MS,1/17/2021,12,16,"1,260","1,095",10,8
MT,1/17/2021,10,12,178,170,3,2
NC,1/17/2021,6,6,"3,772","3,568",110,98
ND,1/17/2021,19,18,152,110,5,2
NE,1/17/2021,12,20,442,428,15,15
NH,1/17/2021,5,8,251,224,3,1
NJ,1/17/2021,11,10,"3,659","3,354",48,20
NM,1/17/2021,17,18,721,638,13,4
NV,1/17/2021,0,0,"1,716","1,615",7,17
NY,1/17/2021,9,8,"9,759","9,104",123,54
OH,1/17/2021,32,51,"4,121","3,803",67,37
OK,1/17/2021,42,48,"1,766","1,783",80,67
OR,1/17/2021,2,2,453,381,9,5
PA,1/17/2021,30,33,"5,237","4,798",62,37
PR,1/17/2021,0,0,344,289,30,7
RI,1/17/2021,6,6,415,374,4,4
SC,1/17/2021,27,23,"2,335","2,232",17,14
SD,1/17/2021,2,2,200,181,3,1
TN,1/17/2021,30,48,"2,626","2,560",31,30
TX,1/17/2021,155,196,"14,341","13,865",163,126
UT,1/17/2021,1,1,604,542,14,0
VA,1/17/2021,28,36,"3,069","2,651",39,18
VI,1/17/2021,1,2,1,1,0,0
VT,1/17/2021,1,1,45,48,0,0
WA,1/17/2021,11,12,954,892,11,8
WI,1/17/2021,37,42,988,950,5,0
WV,1/17/2021,20,24,747,707,4,1
WY,1/17/2021,4,5,95,87,0,0
AK,1/16/2021,1,1,59,53,7,7
AL,1/16/2021,40,44,"3,131","2,948",33,22
AR,1/16/2021,20,22,"1,254","1,143",19,12
AZ,1/16/2021,33,36,"4,867","4,386",35,25
CA,1/16/2021,179,195,"20,888","20,328",180,151
CO,1/16/2021,6,6,921,828,25,18
CT,1/16/2021,4,4,"1,263","1,114",7,4
DC,1/16/2021,0,0,345,317,30,11
DE,1/16/2021,2,3,478,459,7,7
FL,1/16/2021,8,35,"7,930","7,456",47,37
GA,1/16/2021,42,48,"5,920","5,705",75,24
HI,1/16/2021,3,3,128,100,1,1
IA,1/16/2021,5,5,517,478,3,3
ID,1/16/2021,4,5,268,265,5,4
IL,1/16/2021,19,21,"3,426","2,935",44,15
IN,1/16/2021,17,26,"2,366","2,047",22,10
KS,1/16/2021,11,20,874,797,3,2
KY,1/16/2021,1,3,"1,717","1,583",8,5
LA,1/16/2021,46,51,"1,710","1,904",14,13
MA,1/16/2021,11,13,"2,024","1,853",24,16
MD,1/16/2021,2,2,"2,145","1,742",16,8
ME,1/16/2021,3,3,235,200,3,2
MI,1/16/2021,23,25,"2,091","1,919",24,20
MN,1/16/2021,19,19,705,612,9,5
MO,1/16/2021,26,36,"2,395","2,063",85,40
MS,1/16/2021,10,15,"1,273","1,106",13,9
MT,1/16/2021,11,13,180,173,2,2
NC,1/16/2021,5,6,"3,803","3,621",50,32
ND,1/16/2021,18,18,165,125,6,3
NE,1/16/2021,11,19,434,428,17,17
NH,1/16/2021,6,8,260,229,1,1
NJ,1/16/2021,9,10,"3,637","3,344",39,10
NM,1/16/2021,17,18,715,635,13,5
NV,1/16/2021,0,0,"1,719","1,616",7,11
NY,1/16/2021,8,9,"9,802","9,100",122,60
OH,1/16/2021,29,51,"4,185","3,862",68,28
OK,1/16/2021,40,46,"1,818","1,785",71,69
OR,1/16/2021,2,1,466,394,9,5
PA,1/16/2021,27,30,"5,300","4,812",63,34
PR,1/16/2021,0,0,367,297,21,10
RI,1/16/2021,6,6,434,395,3,3
SC,1/16/2021,26,22,"2,348","2,231",12,10
SD,1/16/2021,2,2,209,185,4,3
TN,1/16/2021,32,53,"2,789","2,715",30,29
TX,1/16/2021,151,194,"14,324","13,735",162,132
UT,1/16/2021,1,1,578,529,14,0
VA,1/16/2021,29,37,"3,043","2,695",35,19
VI,1/16/2021,1,2,1,1,0,0
VT,1/16/2021,1,1,47,50,0,0
WA,1/16/2021,10,11,948,865,14,9
WI,1/16/2021,36,42,"1,046",997,5,0
WV,1/16/2021,20,25,760,710,5,3
WY,1/16/2021,5,6,88,86,0,0
AK,1/15/2021,1,1,57,53,7,7
AL,1/15/2021,39,43,"3,178","2,994",22,19
AR,1/15/2021,16,18,"1,297","1,209",21,11
AZ,1/15/2021,33,35,"4,990","4,510",45,27
CA,1/15/2021,181,197,"21,428","20,853",187,161
CO,1/15/2021,7,7,903,813,25,18
CT,1/15/2021,4,4,"1,254","1,128",10,7
DC,1/15/2021,0,0,336,305,30,11
DE,1/15/2021,2,3,476,449,9,9
FL,1/15/2021,9,35,"8,117","7,654",48,41
GA,1/15/2021,41,48,"6,133","5,809",63,29
HI,1/15/2021,3,3,135,104,1,1
IA,1/15/2021,7,6,543,506,5,4
ID,1/15/2021,4,5,318,309,6,4
IL,1/15/2021,16,17,"3,412","2,928",39,13
IN,1/15/2021,20,28,"2,411","2,123",23,11
KS,1/15/2021,13,20,949,877,3,2
KY,1/15/2021,1,3,"1,702","1,569",20,4
LA,1/15/2021,45,51,"1,799","1,975",19,12
MA,1/15/2021,12,14,"2,080","1,890",24,17
MD,1/15/2021,3,3,"2,079","1,661",6,5
ME,1/15/2021,4,4,241,204,2,2
MI,1/15/2021,23,24,"2,199","1,996",25,24
MN,1/15/2021,20,20,728,630,12,9
MO,1/15/2021,29,37,"2,465","2,166",83,36
MS,1/15/2021,13,18,"1,310","1,147",12,8
MT,1/15/2021,11,12,193,187,2,2
NC,1/15/2021,4,6,"3,870","3,641",45,26
ND,1/15/2021,18,18,165,130,6,3
NE,1/15/2021,10,19,473,459,17,16
NH,1/15/2021,6,8,270,238,1,0
NJ,1/15/2021,9,10,"3,765","3,468",38,9
NM,1/15/2021,19,20,733,657,10,4
NV,1/15/2021,0,0,"1,753","1,697",8,11
NY,1/15/2021,9,9,"9,909","9,230",125,56
OH,1/15/2021,29,52,"4,219","3,915",79,34
OK,1/15/2021,47,52,"1,907","1,906",76,73
OR,1/15/2021,3,2,462,398,8,4
PA,1/15/2021,27,30,"5,512","4,971",59,33
PR,1/15/2021,0,0,366,298,27,14
RI,1/15/2021,6,6,433,398,4,4
SC,1/15/2021,27,23,"2,358","2,240",16,11
SD,1/15/2021,2,2,206,182,4,2
TN,1/15/2021,32,53,"2,896","2,794",32,30
TX,1/15/2021,158,195,"14,487","13,855",175,137
UT,1/15/2021,2,2,617,559,14,0
VA,1/15/2021,27,36,"3,022","2,660",32,18
VI,1/15/2021,1,2,1,1,0,0
VT,1/15/2021,1,1,46,49,0,0
WA,1/15/2021,8,10,960,890,14,9
WI,1/15/2021,37,45,"1,089","1,043",9,3
WV,1/15/2021,21,25,813,786,5,2
WY,1/15/2021,5,6,94,88,0,0
FL,1/14/2021,10,37,"8,242","7,756",61,47
GA,1/14/2021,41,48,"6,135","5,856",66,25
HI,1/14/2021,2,2,131,110,0,0
IA,1/14/2021,10,11,583,517,7,3
ID,1/14/2021,4,5,342,334,4,3
IL,1/14/2021,19,20,"3,510","2,988",37,18
IN,1/14/2021,18,24,"2,407","2,135",25,10
KS,1/14/2021,12,21,975,898,2,1
KY,1/14/2021,1,3,"1,741","1,615",17,3
LA,1/14/2021,46,52,"1,768","1,981",13,13
MA,1/14/2021,12,14,"2,049","1,881",25,13
MD,1/14/2021,4,2,"2,073","1,684",16,9
ME,1/14/2021,5,4,244,200,1,1
MI,1/14/2021,23,24,"2,216","2,042",23,17
MN,1/14/2021,21,22,730,619,19,11
MO,1/14/2021,30,36,"2,442","2,182",81,33
MS,1/14/2021,11,15,"1,365","1,180",17,9
MT,1/14/2021,13,13,196,187,3,2
NC,1/14/2021,5,6,"3,871","3,679",38,26
ND,1/14/2021,18,17,163,128,3,1
NE,1/14/2021,12,21,488,465,15,15
NH,1/14/2021,6,8,277,249,1,0
NJ,1/14/2021,10,10,"3,768","3,476",41,9
NM,1/14/2021,19,20,741,688,14,4
NV,1/14/2021,0,0,"1,716","1,688",6,10
NY,1/14/2021,8,8,"9,767","9,070",127,46
OH,1/14/2021,31,52,"4,207","3,920",75,40
OK,1/14/2021,44,49,"1,943","1,934",74,72
OR,1/14/2021,2,2,464,399,4,1
PA,1/14/2021,30,31,"5,677","5,100",50,33
PR,1/14/2021,0,0,377,308,39,13
RI,1/14/2021,6,6,437,400,2,2
SC,1/14/2021,28,24,"2,396","2,266",13,8
SD,1/14/2021,2,2,224,194,2,0
TN,1/14/2021,31,50,"2,954","2,884",32,28
TX,1/14/2021,158,193,"14,501","13,909",174,141
UT,1/14/2021,1,1,619,560,15,0
VA,1/14/2021,28,36,"3,038","2,650",34,18
VI,1/14/2021,1,2,0,0,0,0
VT,1/14/2021,1,1,46,50,0,0
WA,1/14/2021,10,10,"1,010",892,15,9
WI,1/14/2021,37,44,"1,141","1,087",11,4
WV,1/14/2021,22,24,811,780,4,2
WY,1/14/2021,5,6,97,92,1,1
AK,1/14/2021,1,1,66,61,7,7
AL,1/14/2021,39,41,"3,191","2,980",25,18
AR,1/14/2021,17,18,"1,266","1,183",23,9
AZ,1/14/2021,32,34,"5,046","4,570",44,27
CA,1/14/2021,182,197,"21,627","21,046",200,169
CO,1/14/2021,7,7,922,831,31,21
CT,1/14/2021,4,4,"1,243","1,122",11,6
DC,1/14/2021,0,0,342,319,27,12
DE,1/14/2021,2,3,499,464,9,9
AK,1/13/2021,1,1,71,62,7,7
AL,1/13/2021,40,44,"3,309","3,096",31,23
AR,1/13/2021,17,18,"1,303","1,214",28,8
AZ,1/13/2021,33,35,"5,066","4,598",36,20
CA,1/13/2021,181,196,"22,056","21,356",198,172
CO,1/13/2021,7,7,947,859,30,21
CT,1/13/2021,4,4,"1,267","1,146",7,6
DC,1/13/2021,0,0,343,318,28,11
DE,1/13/2021,2,3,501,416,9,8
FL,1/13/2021,10,39,"8,277","7,826",57,49
GA,1/13/2021,41,49,"6,242","5,916",67,24
HI,1/13/2021,2,2,130,116,0,0
IA,1/13/2021,5,7,577,529,9,4
ID,1/13/2021,4,5,338,334,7,5
IL,1/13/2021,17,17,"3,569","3,059",42,16
IN,1/13/2021,17,29,"2,447","2,238",24,11
KS,1/13/2021,15,22,973,889,3,1
KY,1/13/2021,1,4,"1,757","1,604",17,4
LA,1/13/2021,46,51,"1,756","1,944",17,13
MA,1/13/2021,12,14,"2,077","1,899",17,11
MD,1/13/2021,3,3,"2,069","1,691",20,10
ME,1/13/2021,2,2,246,208,0,0
MI,1/13/2021,24,25,"2,222","2,051",22,19
MN,1/13/2021,19,22,757,652,24,13
MO,1/13/2021,29,37,"2,524","2,244",73,40
MS,1/13/2021,12,18,"1,387","1,205",17,9
MT,1/13/2021,10,11,200,194,3,2
NC,1/13/2021,6,7,"3,967","3,698",48,27
ND,1/13/2021,18,17,159,127,3,1
NE,1/13/2021,12,21,470,449,16,16
NH,1/13/2021,6,8,291,260,3,2
NJ,1/13/2021,10,10,"3,851","3,541",42,9
NM,1/13/2021,19,19,768,703,15,4
NV,1/13/2021,0,0,"1,808","1,752",7,10
NY,1/13/2021,10,10,"9,925","9,151",132,54
OH,1/13/2021,32,52,"4,374","4,051",79,38
OK,1/13/2021,48,51,"1,915","1,917",71,67
OR,1/13/2021,2,2,507,414,5,0
PA,1/13/2021,29,30,"5,900","5,273",79,54
PR,1/13/2021,9,10,367,315,31,10
RI,1/13/2021,6,6,432,394,2,2
SC,1/13/2021,27,23,"2,396","2,279",16,10
SD,1/13/2021,2,2,242,209,5,2
TN,1/13/2021,33,53,"3,088","2,980",40,31
TX,1/13/2021,163,197,"14,579","14,036",163,126
UT,1/13/2021,1,1,584,528,19,1
VA,1/13/2021,26,35,"3,059","2,665",32,16
VI,1/13/2021,1,2,0,0,0,0
VT,1/13/2021,1,1,51,52,0,0
WA,1/13/2021,13,11,"1,053",960,14,10
WI,1/13/2021,38,43,"1,181","1,117",7,6
WV,1/13/2021,21,25,838,800,7,1
WY,1/13/2021,5,6,94,85,1,1
AK,1/12/2021,1,1,67,60,0,0
AL,1/12/2021,41,42,"3,159","3,092",29,21
AR,1/12/2021,17,20,"1,247","1,190",20,7
AZ,1/12/2021,31,32,"4,969","4,509",37,23
CA,1/12/2021,178,194,"22,252","21,658",199,171
CO,1/12/2021,5,5,921,824,36,18
CT,1/12/2021,4,4,"1,289","1,158",9,6
DC,1/12/2021,0,0,355,320,27,11
DE,1/12/2021,1,1,498,470,6,5
FL,1/12/2021,8,35,"8,332","7,876",80,54
GA,1/12/2021,41,48,"6,089","5,823",68,23
HI,1/12/2021,2,2,130,117,3,0
IA,1/12/2021,3,5,557,509,15,6
ID,1/12/2021,3,3,325,328,4,4
IL,1/12/2021,18,20,"3,681","3,174",48,20
IN,1/12/2021,18,24,"2,441","2,211",22,11
KS,1/12/2021,11,18,979,885,3,1
KY,1/12/2021,1,4,"1,747","1,630",17,3
LA,1/12/2021,46,51,"1,722","1,994",19,12
MA,1/12/2021,9,10,"1,991","1,807",16,14
MD,1/12/2021,2,2,"2,090","1,714",15,9
ME,1/12/2021,4,4,234,197,1,1
MI,1/12/2021,23,25,"2,397","2,194",27,23
MN,1/12/2021,21,22,776,671,22,14
MO,1/12/2021,27,36,"2,552","2,288",59,31
MS,1/12/2021,10,15,"1,402","1,207",17,11
MT,1/12/2021,11,13,212,202,1,1
NC,1/12/2021,6,7,"3,907","3,689",42,26
ND,1/12/2021,17,16,165,127,1,1
NE,1/12/2021,12,21,474,440,18,15
NH,1/12/2021,5,8,301,267,2,2
NJ,1/12/2021,10,12,"3,839","3,555",31,15
NM,1/12/2021,20,19,686,639,11,2
NV,1/12/2021,0,0,"1,773","1,774",3,11
NY,1/12/2021,10,10,"9,817","9,090",114,54
OH,1/12/2021,30,51,"4,395","4,099",77,38
OK,1/12/2021,45,50,"1,958","1,949",74,68
OR,1/12/2021,2,2,518,417,3,0
PA,1/12/2021,36,38,"5,697","5,248",58,36
PR,1/12/2021,0,0,379,302,21,7
RI,1/12/2021,6,6,450,415,6,6
SC,1/12/2021,28,24,"2,359","2,294",14,10
SD,1/12/2021,2,2,247,216,4,1
TN,1/12/2021,31,49,"3,140","3,054",34,33
TX,1/12/2021,160,197,"14,640","14,083",157,121
UT,1/12/2021,1,1,577,529,21,0
VA,1/12/2021,28,37,"3,086","2,691",25,13
VI,1/12/2021,1,2,0,0,0,0
VT,1/12/2021,1,1,56,55,0,0
WA,1/12/2021,11,9,"1,031",945,10,7
WI,1/12/2021,36,44,"1,134","1,081",9,5
WV,1/12/2021,22,25,814,803,5,2
WY,1/12/2021,5,5,115,107,1,1
AK,1/11/2021,1,1,66,63,0,0
AL,1/11/2021,41,41,"3,176","3,098",30,24
AR,1/11/2021,18,21,"1,277","1,218",20,6
AZ,1/11/2021,35,34,"5,058","4,596",31,20
CA,1/11/2021,179,191,"22,373","21,761",206,172
CO,1/11/2021,5,4,927,835,21,16
CT,1/11/2021,4,4,"1,319","1,172",10,7
DC,1/11/2021,0,0,342,320,31,10
DE,1/11/2021,1,2,501,482,7,5
FL,1/11/2021,8,24,"8,242","7,809",53,41
GA,1/11/2021,40,45,"6,035","5,709",78,23
HI,1/11/2021,2,2,144,126,3,0
IA,1/11/2021,4,5,576,545,10,6
ID,1/11/2021,3,4,334,331,4,4
IL,1/11/2021,21,21,"3,537","3,116",40,21
IN,1/11/2021,20,26,"2,472","2,254",24,11
KS,1/11/2021,11,13,"1,015",930,2,1
KY,1/11/2021,1,4,"1,768","1,670",14,2
LA,1/11/2021,46,51,"1,782","2,004",19,14
MA,1/11/2021,10,10,"1,986","1,829",29,16
MD,1/11/2021,4,4,"2,109","1,747",15,11
ME,1/11/2021,3,4,232,203,1,1
MI,1/11/2021,22,23,"2,364","2,171",23,21
MN,1/11/2021,21,22,783,700,15,12
MO,1/11/2021,26,34,"2,568","2,293",50,29
MS,1/11/2021,11,17,"1,431","1,229",16,10
MT,1/11/2021,11,13,197,191,3,1
NC,1/11/2021,6,7,"3,846","3,647",35,25
ND,1/11/2021,16,15,158,131,1,1
NE,1/11/2021,13,22,497,478,18,14
NH,1/11/2021,5,7,315,279,4,2
NJ,1/11/2021,10,13,"3,813","3,573",26,10
NM,1/11/2021,19,17,680,654,9,1
NV,1/11/2021,0,0,"1,785","1,757",7,14
NY,1/11/2021,9,9,"9,818","9,060",107,54
OH,1/11/2021,27,48,"4,418","4,157",78,39
OK,1/11/2021,43,50,"2,113","1,997",74,71
OR,1/11/2021,1,2,489,412,9,3
PA,1/11/2021,33,36,"5,854","5,399",57,35
PR,1/11/2021,0,0,382,302,20,6
RI,1/11/2021,6,6,451,415,5,5
SC,1/11/2021,27,25,"2,342","2,262",18,15
SD,1/11/2021,2,2,237,210,1,0
TN,1/11/2021,32,51,"3,157","3,060",31,30
TX,1/11/2021,168,198,"14,676","14,217",151,122
UT,1/11/2021,1,3,573,535,19,0
VA,1/11/2021,26,33,"3,028","2,649",25,7
VI,1/11/2021,1,2,0,0,0,0
VT,1/11/2021,1,1,51,49,1,0
WA,1/11/2021,8,12,"1,032",948,11,6
WI,1/11/2021,37,44,"1,149","1,108",6,3
WV,1/11/2021,23,24,820,792,5,2
WY,1/11/2021,4,5,105,98,0,0
AK,1/10/2021,1,1,68,62,3,2
AL,1/10/2021,40,42,"3,295","3,098",31,22
AR,1/10/2021,20,23,"1,361","1,257",21,5
AZ,1/10/2021,31,36,"5,212","4,630",34,21
CA,1/10/2021,179,194,"22,359","21,572",219,169
CO,1/10/2021,7,9,912,834,34,18
CT,1/10/2021,4,4,"1,272","1,152",12,8
DC,1/10/2021,0,0,331,309,31,9
DE,1/10/2021,1,2,508,484,12,11
FL,1/10/2021,9,25,"8,173","7,709",57,45
GA,1/10/2021,42,47,"6,078","5,726",84,24
HI,1/10/2021,2,2,137,118,2,1
IA,1/10/2021,4,5,597,557,6,4
ID,1/10/2021,5,6,332,329,8,7
IL,1/10/2021,22,21,"3,592","3,126",43,21
IN,1/10/2021,20,28,"2,558","2,281",20,9
KS,1/10/2021,12,16,977,895,5,4
KY,1/10/2021,0,3,"1,807","1,667",23,5
LA,1/10/2021,45,51,"1,752","1,947",14,11
MA,1/10/2021,14,14,"2,077","1,878",26,18
MD,1/10/2021,4,3,"2,123","1,773",12,8
ME,1/10/2021,1,4,239,196,1,1
MI,1/10/2021,22,25,"2,376","2,157",26,19
MN,1/10/2021,19,22,779,696,17,14
MO,1/10/2021,27,34,"2,520","2,253",59,33
MS,1/10/2021,12,18,"1,406","1,214",20,14
MT,1/10/2021,9,11,209,193,2,1
NC,1/10/2021,8,8,"3,848","3,573",38,28
ND,1/10/2021,18,17,149,127,3,2
NE,1/10/2021,11,19,498,478,15,14
NH,1/10/2021,6,9,303,262,2,1
NJ,1/10/2021,11,13,"3,868","3,563",48,34
