state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,state,date,critical_staffing_shortage_today_yes_wkLtr,critical_staffing_shortage_anticipated_within_week_yes
FL,2/5/2021,10,26,42,57,5589,6014,FL,2/12/2021,10,28
GA,2/5/2021,41,47,37,66,3770,4016,GA,2/12/2021,38,43
HI,2/5/2021,1,2,0,2,67,81,HI,2/12/2021,2,3
IA,2/5/2021,5,5,4,4,331,349,IA,2/12/2021,2,2
ID,2/5/2021,5,5,3,3,178,185,ID,2/12/2021,5,5
IL,2/5/2021,13,14,28,46,1943,2372,IL,2/12/2021,14,13
IN,2/5/2021,16,21,13,26,1112,1370,IN,2/12/2021,15,18
KS,2/5/2021,11,15,1,3,525,587,KS,2/12/2021,11,14
KY,2/5/2021,1,6,3,2,1238,1350,KY,2/12/2021,0,8
LA,2/5/2021,44,50,9,18,1225,1108,LA,2/12/2021,43,46
MA,2/5/2021,10,10,14,19,1232,1389,MA,2/12/2021,10,10
MD,2/5/2021,3,2,13,17,1366,1714,MD,2/12/2021,3,2
ME,2/5/2021,2,2,0,1,141,160,ME,2/12/2021,3,2
MI,2/5/2021,11,13,12,14,1184,1294,MI,2/12/2021,5,6
MN,2/5/2021,19,20,9,10,366,461,MN,2/12/2021,21,20
MO,2/5/2021,22,30,38,73,1248,1564,MO,2/12/2021,24,28
MS,2/5/2021,13,16,10,16,698,830,MS,2/12/2021,12,16
MT,2/5/2021,9,10,3,3,110,112,MT,2/12/2021,10,10
NC,2/5/2021,2,3,24,37,2374,2454,NC,2/12/2021,4,3
ND,2/5/2021,15,15,3,4,71,113,ND,2/12/2021,14,14
NE,2/5/2021,8,17,5,4,274,288,NE,2/12/2021,10,17
NH,2/5/2021,4,6,1,2,174,190,NH,2/12/2021,4,6
NJ,2/5/2021,9,10,6,22,2804,3065,NJ,2/12/2021,10,11
NM,2/5/2021,19,20,8,18,427,478,NM,2/12/2021,19,20
NV,2/5/2021,0,0,7,2,973,1034,NV,2/12/2021,0,0
NY,2/5/2021,6,8,59,206,8027,8646,NY,2/12/2021,6,8
OH,2/5/2021,19,35,37,73,2189,2456,OH,2/12/2021,15,33
OK,2/5/2021,38,45,58,61,1134,1184,OK,2/12/2021,39,46
OR,2/5/2021,1,1,4,9,282,341,OR,2/12/2021,3,1
PA,2/5/2021,25,32,38,82,3099,3572,PA,2/12/2021,21,24
PR,2/5/2021,0,0,3,19,183,262,PR,2/12/2021,0,0
RI,2/5/2021,4,5,4,4,288,321,RI,2/12/2021,4,4
SC,2/5/2021,27,24,8,10,1448,1552,SC,2/12/2021,27,24
SD,2/5/2021,1,1,0,3,91,112,SD,2/12/2021,2,2
TN,2/5/2021,26,45,12,16,1358,1447,TN,2/12/2021,26,43
TX,2/5/2021,135,162,133,163,9900,10555,TX,2/12/2021,125,161
UT,2/5/2021,0,0,0,6,336,433,UT,2/12/2021,0,0
VA,2/5/2021,18,22,17,32,1980,2243,VA,2/12/2021,20,22
VI,2/5/2021,2,2,0,0,3,3,VI,2/12/2021,2,2
VT,2/5/2021,2,2,1,1,56,64,VT,2/12/2021,2,2
WA,2/5/2021,8,10,3,16,641,705,WA,2/12/2021,9,10
WI,2/5/2021,12,16,3,10,641,672,WI,2/12/2021,16,19
WV,2/5/2021,17,22,2,3,434,492,WV,2/12/2021,17,21
WY,2/5/2021,3,5,0,0,41,53,WY,2/12/2021,3,5
AK,2/4/2021,1,1,0,0,39,42,AK,2/11/2021,1,1
AL,2/4/2021,33,35,20,29,1747,1904,AL,2/11/2021,33,37
AR,2/4/2021,22,25,8,16,764,886,AR,2/11/2021,18,20
AZ,2/4/2021,27,34,36,57,2766,3251,AZ,2/11/2021,29,32
CA,2/4/2021,135,154,122,138,12894,13514,CA,2/11/2021,130,142
CO,2/4/2021,6,7,11,19,547,615,CO,2/11/2021,7,7
CT,2/4/2021,4,4,5,10,835,940,CT,2/11/2021,4,4
DC,2/4/2021,0,0,8,22,289,328,DC,2/11/2021,0,0
DE,2/4/2021,1,1,4,7,296,307,DE,2/11/2021,2,2
FL,2/4/2021,9,28,44,59,5753,6191,FL,2/11/2021,10,25
GA,2/4/2021,41,48,35,76,3896,4117,GA,2/11/2021,42,46
HI,2/4/2021,1,2,0,4,70,82,HI,2/11/2021,1,2
IA,2/4/2021,3,4,3,5,345,365,IA,2/11/2021,3,3
ID,2/4/2021,5,5,3,3,174,193,ID,2/11/2021,5,5
IL,2/4/2021,13,13,27,52,1934,2387,IL,2/11/2021,14,14
IN,2/4/2021,16,21,13,18,1184,1456,IN,2/11/2021,15,17
KS,2/4/2021,11,14,1,4,536,606,KS,2/11/2021,14,15
KY,2/4/2021,0,6,1,2,1267,1377,KY,2/11/2021,1,6
LA,2/4/2021,45,49,15,18,1250,1140,LA,2/11/2021,43,46
MA,2/4/2021,10,10,11,19,1273,1445,MA,2/11/2021,10,11
MD,2/4/2021,3,3,13,19,1386,1735,MD,2/11/2021,3,2
ME,2/4/2021,5,2,0,1,156,179,ME,2/11/2021,2,2
MI,2/4/2021,12,14,13,16,1191,1329,MI,2/11/2021,4,6
MN,2/4/2021,20,20,8,11,362,435,MN,2/11/2021,19,20
MO,2/4/2021,20,29,36,66,1301,1610,MO,2/11/2021,24,31
MS,2/4/2021,12,16,10,17,726,854,MS,2/11/2021,10,14
MT,2/4/2021,9,10,2,2,107,113,MT,2/11/2021,10,9
NC,2/4/2021,6,6,26,44,2408,2506,NC,2/11/2021,4,4
ND,2/4/2021,15,15,3,5,67,111,ND,2/11/2021,13,13
NE,2/4/2021,8,17,9,11,277,294,NE,2/11/2021,9,17
NH,2/4/2021,4,7,1,1,190,210,NH,2/11/2021,3,5
NJ,2/4/2021,9,10,5,19,2814,3065,NJ,2/11/2021,10,10
NM,2/4/2021,19,19,5,18,415,490,NM,2/11/2021,20,20
NV,2/4/2021,0,0,7,3,1050,1128,NV,2/11/2021,0,0
NY,2/4/2021,7,9,53,205,8184,8775,NY,2/11/2021,7,9
OH,2/4/2021,18,34,37,67,2401,2700,OH,2/11/2021,18,33
OK,2/4/2021,37,45,57,61,1159,1197,OK,2/11/2021,38,45
OR,2/4/2021,3,3,2,6,283,351,OR,2/11/2021,1,1
PA,2/4/2021,26,31,34,64,3212,3714,PA,2/11/2021,24,27
PR,2/4/2021,0,0,3,15,199,260,PR,2/11/2021,0,0
RI,2/4/2021,4,5,3,3,310,342,RI,2/11/2021,4,4
SC,2/4/2021,26,23,8,11,1507,1616,SC,2/11/2021,26,23
SD,2/4/2021,1,1,0,3,96,118,SD,2/11/2021,2,2
TN,2/4/2021,25,44,13,16,1417,1495,TN,2/11/2021,22,40
TX,2/4/2021,131,165,134,166,10243,10906,TX,2/11/2021,123,159
UT,2/4/2021,0,0,0,9,347,437,UT,2/11/2021,0,0
VA,2/4/2021,18,22,13,26,2038,2281,VA,2/11/2021,21,22
VI,2/4/2021,2,2,0,0,3,3,VI,2/11/2021,2,2
VT,2/4/2021,2,2,1,1,59,68,VT,2/11/2021,2,2
WA,2/4/2021,7,9,2,16,648,728,WA,2/11/2021,5,6
WI,2/4/2021,17,16,7,16,650,696,WI,2/11/2021,13,18
WV,2/4/2021,17,21,0,2,447,501,WV,2/11/2021,18,22
WY,2/4/2021,3,5,0,0,45,56,WY,2/11/2021,3,5
AK,2/3/2021,1,1,1,1,39,41,AK,2/10/2021,1,1
AL,2/3/2021,34,35,24,32,1831,1992,AL,2/10/2021,32,36
AR,2/3/2021,19,22,6,18,789,897,AR,2/10/2021,15,15
AZ,2/3/2021,30,34,37,51,2933,3387,AZ,2/10/2021,29,32
CA,2/3/2021,134,153,126,146,13337,14016,CA,2/10/2021,122,143
CO,2/3/2021,6,7,12,20,554,621,CO,2/10/2021,6,7
CT,2/3/2021,4,4,5,8,851,978,CT,2/10/2021,4,4
DC,2/3/2021,0,0,6,27,278,320,DC,2/10/2021,0,0
DE,2/3/2021,1,1,6,8,315,326,DE,2/10/2021,1,1
FL,2/3/2021,13,31,49,63,5975,6404,FL,2/10/2021,11,27
GA,2/3/2021,42,50,29,74,4034,4296,GA,2/10/2021,42,46
HI,2/3/2021,2,4,0,1,65,85,HI,2/10/2021,2,3
IA,2/3/2021,3,5,4,6,356,380,IA,2/10/2021,2,3
ID,2/3/2021,5,5,3,3,193,204,ID,2/10/2021,5,5
IL,2/3/2021,13,12,28,55,2011,2437,IL,2/10/2021,12,12
IN,2/3/2021,16,20,15,20,1236,1508,IN,2/10/2021,16,18
KS,2/3/2021,13,15,1,3,547,612,KS,2/10/2021,12,16
KY,2/3/2021,1,6,1,6,1288,1390,KY,2/10/2021,1,7
LA,2/3/2021,44,49,16,19,1265,1178,LA,2/10/2021,45,47
MA,2/3/2021,10,10,12,15,1310,1481,MA,2/10/2021,10,10
MD,2/3/2021,3,2,13,17,1381,1719,MD,2/10/2021,3,2
ME,2/3/2021,4,3,1,1,162,181,ME,2/10/2021,3,2
MI,2/3/2021,12,13,20,22,1244,1357,MI,2/10/2021,4,6
MN,2/3/2021,20,20,10,12,367,456,MN,2/10/2021,19,20
MO,2/3/2021,27,32,37,68,1309,1598,MO,2/10/2021,28,35
MS,2/3/2021,12,16,12,21,754,874,MS,2/10/2021,14,15
MT,2/3/2021,8,9,2,3,115,117,MT,2/10/2021,9,9
NC,2/3/2021,3,3,30,45,2548,2639,NC,2/10/2021,4,5
ND,2/3/2021,15,15,3,5,74,110,ND,2/10/2021,14,14
NE,2/3/2021,8,17,6,9,272,289,NE,2/10/2021,9,17
NH,2/3/2021,5,6,0,0,203,217,NH,2/10/2021,6,6
NJ,2/3/2021,11,11,5,22,2859,3103,NJ,2/10/2021,10,11
NM,2/3/2021,17,17,6,15,451,537,NM,2/10/2021,19,18
NV,2/3/2021,0,0,9,5,1112,1169,NV,2/10/2021,0,0
NY,2/3/2021,8,10,48,196,8223,8820,NY,2/10/2021,7,9
OH,2/3/2021,18,25,34,73,2504,2777,OH,2/10/2021,19,33
OK,2/3/2021,39,47,58,60,1216,1261,OK,2/10/2021,40,43
OR,2/3/2021,1,2,6,13,298,368,OR,2/10/2021,2,2
PA,2/3/2021,26,31,42,76,3349,3886,PA,2/10/2021,23,27
PR,2/3/2021,8,8,3,22,211,290,PR,2/10/2021,7,7
RI,2/3/2021,4,5,2,2,323,358,RI,2/10/2021,4,4
SC,2/3/2021,26,23,8,10,1575,1662,SC,2/10/2021,20,21
SD,2/3/2021,2,2,1,3,101,123,SD,2/10/2021,1,1
TN,2/3/2021,23,42,9,15,1440,1528,TN,2/10/2021,22,41
TX,2/3/2021,132,166,147,179,10519,11076,TX,2/10/2021,127,164
UT,2/3/2021,0,0,0,7,369,452,UT,2/10/2021,0,0
VA,2/3/2021,18,22,13,31,2099,2367,VA,2/10/2021,21,23
VI,2/3/2021,2,2,0,0,3,3,VI,2/10/2021,2,2
VT,2/3/2021,2,2,1,1,58,57,VT,2/10/2021,2,2
WA,2/3/2021,7,8,3,20,669,757,WA,2/10/2021,7,8
WI,2/3/2021,13,15,4,12,695,744,WI,2/10/2021,12,17
WV,2/3/2021,18,21,0,1,459,522,WV,2/10/2021,19,22
WY,2/3/2021,3,5,0,1,44,53,WY,2/10/2021,3,5
AK,2/2/2021,1,1,1,1,42,44,AK,2/9/2021,1,1
AL,2/2/2021,31,35,18,26,1862,1948,AL,2/9/2021,31,34
AR,2/2/2021,16,18,8,18,770,846,AR,2/9/2021,19,21
AZ,2/2/2021,28,31,34,49,2975,3384,AZ,2/9/2021,25,29
CA,2/2/2021,145,164,134,154,13770,14359,CA,2/9/2021,128,148
CO,2/2/2021,7,7,14,24,538,610,CO,2/9/2021,6,4
CT,2/2/2021,4,4,4,5,884,983,CT,2/9/2021,4,4
DC,2/2/2021,0,0,7,24,273,344,DC,2/9/2021,0,0
DE,2/2/2021,1,1,6,6,333,344,DE,2/9/2021,1,1
FL,2/2/2021,12,30,52,67,6128,6594,FL,2/9/2021,9,25
GA,2/2/2021,42,49,30,67,4108,4326,GA,2/9/2021,40,45
HI,2/2/2021,2,3,0,1,69,86,HI,2/9/2021,2,3
IA,2/2/2021,2,2,5,6,377,390,IA,2/9/2021,2,2
ID,2/2/2021,3,3,3,5,185,194,ID,2/9/2021,3,3
IL,2/2/2021,11,13,25,49,2045,2477,IL,2/9/2021,12,13
IN,2/2/2021,14,18,21,31,1259,1501,IN,2/9/2021,14,16
KS,2/2/2021,10,13,2,3,546,602,KS,2/9/2021,12,15
KY,2/2/2021,1,5,2,15,1259,1350,KY,2/9/2021,1,5
LA,2/2/2021,45,49,13,16,1346,1245,LA,2/9/2021,44,47
MA,2/2/2021,8,7,14,17,1351,1501,MA,2/9/2021,8,7
MD,2/2/2021,3,2,13,22,1382,1685,MD,2/9/2021,4,3
ME,2/2/2021,2,2,1,2,164,183,ME,2/9/2021,2,3
MI,2/2/2021,11,13,28,29,1238,1372,MI,2/9/2021,10,13
MN,2/2/2021,19,20,9,17,378,447,MN,2/9/2021,20,21
MO,2/2/2021,23,29,28,50,1350,1632,MO,2/9/2021,20,24
MS,2/2/2021,11,16,12,21,795,929,MS,2/9/2021,10,14
MT,2/2/2021,9,10,3,3,113,119,MT,2/9/2021,9,9
NC,2/2/2021,4,4,30,41,2592,2725,NC,2/9/2021,4,5
ND,2/2/2021,14,14,1,3,76,121,ND,2/9/2021,13,12
NE,2/2/2021,8,18,4,9,300,325,NE,2/9/2021,9,17
NH,2/2/2021,3,5,0,1,193,207,NH,2/9/2021,4,5
NJ,2/2/2021,9,9,8,30,2855,3039,NJ,2/9/2021,8,9
NM,2/2/2021,19,19,5,11,481,537,NM,2/9/2021,19,19
NV,2/2/2021,0,0,6,4,1118,1154,NV,2/9/2021,0,0
NY,2/2/2021,7,9,51,178,8265,8890,NY,2/9/2021,7,9
OH,2/2/2021,17,33,38,61,2574,2856,OH,2/9/2021,15,32
OK,2/2/2021,34,43,60,68,1230,1266,OK,2/9/2021,36,40
OR,2/2/2021,0,1,5,16,289,368,OR,2/9/2021,0,0
PA,2/2/2021,25,28,39,89,3337,4045,PA,2/9/2021,20,28
PR,2/2/2021,0,0,2,23,203,282,PR,2/9/2021,0,0
RI,2/2/2021,5,6,3,3,331,361,RI,2/9/2021,5,5
SC,2/2/2021,25,22,9,14,1616,1672,SC,2/9/2021,26,23
SD,2/2/2021,2,2,0,1,107,127,SD,2/9/2021,0,1
TN,2/2/2021,24,44,16,18,1476,1555,TN,2/9/2021,23,42
TX,2/2/2021,135,169,144,177,10812,11370,TX,2/9/2021,124,162
UT,2/2/2021,0,1,0,10,376,448,UT,2/9/2021,0,0
VA,2/2/2021,18,22,13,26,2121,2368,VA,2/9/2021,20,21
VI,2/2/2021,1,2,0,0,3,3,VI,2/9/2021,2,2
VT,2/2/2021,2,2,0,0,56,59,VT,2/9/2021,2,2
WA,2/2/2021,7,8,2,7,686,759,WA,2/9/2021,7,9
WI,2/2/2021,14,18,5,12,718,757,WI,2/9/2021,13,17
WV,2/2/2021,18,21,0,3,497,508,WV,2/9/2021,19,21
WY,2/2/2021,3,5,0,1,51,62,WY,2/9/2021,3,5
AK,2/1/2021,1,1,0,0,39,44,AK,2/8/2021,1,1
AL,2/1/2021,32,35,16,26,1887,2027,AL,2/8/2021,31,36
AR,2/1/2021,18,20,7,14,771,823,AR,2/8/2021,21,21
AZ,2/1/2021,30,34,35,48,3117,3456,AZ,2/8/2021,26,31
CA,2/1/2021,149,166,128,143,14223,14775,CA,2/8/2021,130,145
CO,2/1/2021,5,4,9,19,542,601,CO,2/8/2021,6,4
CT,2/1/2021,4,4,3,4,910,1034,CT,2/8/2021,4,4
DC,2/1/2021,0,0,8,24,270,296,DC,2/8/2021,0,0
DE,2/1/2021,1,1,6,6,323,326,DE,2/8/2021,0,0
FL,2/1/2021,10,28,44,56,6358,6671,FL,2/8/2021,7,23
GA,2/1/2021,40,47,26,63,4202,4448,GA,2/8/2021,40,45
HI,2/1/2021,2,3,0,1,72,93,HI,2/8/2021,2,3
IA,2/1/2021,2,2,3,7,385,398,IA,2/8/2021,2,3
ID,2/1/2021,3,3,2,2,194,201,ID,2/8/2021,3,3
IL,2/1/2021,12,12,23,50,2101,2484,IL,2/8/2021,14,14
IN,2/1/2021,14,18,19,23,1309,1565,IN,2/8/2021,15,17
KS,2/1/2021,8,12,4,6,568,615,KS,2/8/2021,10,13
KY,2/1/2021,1,5,2,10,1273,1344,KY,2/8/2021,0,6
LA,2/1/2021,45,48,10,18,1385,1278,LA,2/8/2021,46,47
MA,2/1/2021,7,6,11,16,1330,1444,MA,2/8/2021,8,7
MD,2/1/2021,5,3,14,26,1399,1701,MD,2/8/2021,4,2
ME,2/1/2021,4,2,1,3,172,192,ME,2/8/2021,3,3
MI,2/1/2021,21,24,29,36,1232,1373,MI,2/8/2021,12,13
MN,2/1/2021,20,21,9,13,393,447,MN,2/8/2021,19,20
MO,2/1/2021,24,28,27,58,1380,1617,MO,2/8/2021,22,29
MS,2/1/2021,12,16,14,27,810,926,MS,2/8/2021,10,14
MT,2/1/2021,9,9,2,2,115,128,MT,2/8/2021,9,9
NC,2/1/2021,4,4,32,43,2654,2778,NC,2/8/2021,4,4
ND,2/1/2021,13,13,2,4,80,115,ND,2/8/2021,14,14
NE,2/1/2021,8,18,4,5,304,323,NE,2/8/2021,8,17
NH,2/1/2021,5,7,0,0,192,214,NH,2/8/2021,6,7
NJ,2/1/2021,10,9,7,27,2775,2947,NJ,2/8/2021,7,8
NM,2/1/2021,17,17,6,7,503,539,NM,2/8/2021,18,19
NV,2/1/2021,0,0,8,7,1162,1191,NV,2/8/2021,0,0
NY,2/1/2021,6,9,64,115,8170,8811,NY,2/8/2021,7,9
OH,2/1/2021,14,33,39,65,2595,2830,OH,2/8/2021,17,33
OK,2/1/2021,37,45,59,63,1280,1317,OK,2/8/2021,37,40
OR,2/1/2021,0,0,4,13,300,370,OR,2/8/2021,1,2
PA,2/1/2021,23,28,42,80,3340,3929,PA,2/8/2021,22,28
PR,2/1/2021,0,0,1,21,202,271,PR,2/8/2021,0,0
RI,2/1/2021,5,5,3,3,333,372,RI,2/8/2021,4,5
SC,2/1/2021,25,22,8,14,1682,1722,SC,2/8/2021,26,23
SD,2/1/2021,3,3,0,1,109,127,SD,2/8/2021,1,2
TN,2/1/2021,24,42,20,35,1540,1599,TN,2/8/2021,23,42
TX,2/1/2021,142,175,142,173,10991,11469,TX,2/8/2021,130,165
UT,2/1/2021,0,1,0,7,381,465,UT,2/8/2021,0,0
VA,2/1/2021,18,22,13,24,2125,2316,VA,2/8/2021,21,23
VI,2/1/2021,1,2,0,0,2,2,VI,2/8/2021,2,2
VT,2/1/2021,3,2,0,1,63,67,VT,2/8/2021,2,2
WA,2/1/2021,5,6,5,9,712,786,WA,2/8/2021,8,10
WI,2/1/2021,16,19,4,9,734,770,WI,2/8/2021,13,17
WV,2/1/2021,19,22,0,2,504,513,WV,2/8/2021,18,21
WY,2/1/2021,3,5,0,1,52,58,WY,2/8/2021,3,5
AK,1/31/2021,1,1,0,0,40,45,AK,2/7/2021,1,1
AL,1/31/2021,33,35,12,22,1992,2196,AL,2/7/2021,32,36
AR,1/31/2021,17,21,9,16,850,972,AR,2/7/2021,21,25
AZ,1/31/2021,30,31,42,48,3236,3675,AZ,2/7/2021,30,33
CA,1/31/2021,152,165,116,152,14359,14921,CA,2/7/2021,135,149
CO,1/31/2021,6,5,10,19,561,619,CO,2/7/2021,6,5
CT,1/31/2021,4,4,3,3,924,1027,CT,2/7/2021,4,4
DC,1/31/2021,0,0,8,25,273,297,DC,2/7/2021,0,0
DE,1/31/2021,1,1,4,6,325,342,DE,2/7/2021,1,1
FL,1/31/2021,11,29,40,56,6320,6745,FL,2/7/2021,9,24
GA,1/31/2021,42,48,23,47,4284,4552,GA,2/7/2021,42,46
HI,1/31/2021,2,2,0,1,74,94,HI,2/7/2021,2,4
IA,1/31/2021,2,3,5,8,363,371,IA,2/7/2021,3,4
ID,1/31/2021,5,5,3,3,199,206,ID,2/7/2021,4,4
IL,1/31/2021,13,13,24,49,2128,2540,IL,2/7/2021,14,13
IN,1/31/2021,13,16,16,25,1328,1581,IN,2/7/2021,13,16
KS,1/31/2021,11,14,4,7,565,633,KS,2/7/2021,11,15
KY,1/31/2021,1,6,0,10,1308,1397,KY,2/7/2021,0,7
LA,1/31/2021,45,48,7,11,1359,1251,LA,2/7/2021,44,48
MA,1/31/2021,9,9,13,18,1424,1569,MA,2/7/2021,10,10
MD,1/31/2021,2,2,14,19,1388,1680,MD,2/7/2021,2,2
ME,1/31/2021,1,2,1,1,169,202,ME,2/7/2021,1,3
MI,1/31/2021,21,26,27,30,1252,1395,MI,2/7/2021,11,13
MN,1/31/2021,19,21,9,10,384,432,MN,2/7/2021,19,20
MO,1/31/2021,24,30,28,66,1368,1634,MO,2/7/2021,21,29
MS,1/31/2021,10,16,13,18,811,934,MS,2/7/2021,12,15
MT,1/31/2021,10,10,1,1,120,127,MT,2/7/2021,10,10
NC,1/31/2021,4,5,38,70,2667,2841,NC,2/7/2021,2,3
ND,1/31/2021,15,15,1,3,83,115,ND,2/7/2021,16,15
NE,1/31/2021,8,18,3,3,302,312,NE,2/7/2021,8,16
NH,1/31/2021,5,7,0,0,202,234,NH,2/7/2021,4,6
NJ,1/31/2021,11,10,4,27,2785,2979,NJ,2/7/2021,10,10
NM,1/31/2021,17,17,6,14,512,586,NM,2/7/2021,15,18
NV,1/31/2021,0,0,6,4,1131,1253,NV,2/7/2021,0,0
NY,1/31/2021,6,10,74,131,8173,8808,NY,2/7/2021,7,9
OH,1/31/2021,15,35,41,65,2556,2817,OH,2/7/2021,18,34
OK,1/31/2021,38,45,64,69,1265,1286,OK,2/7/2021,33,37
OR,1/31/2021,1,0,1,6,307,377,OR,2/7/2021,3,2
PA,1/31/2021,23,29,40,75,3480,3935,PA,2/7/2021,26,32
PR,1/31/2021,0,0,4,18,201,272,PR,2/7/2021,0,0
RI,1/31/2021,5,5,3,3,319,352,RI,2/7/2021,4,5
SC,1/31/2021,27,24,7,9,1698,1808,SC,2/7/2021,27,24
SD,1/31/2021,2,3,2,4,99,121,SD,2/7/2021,0,0
TN,1/31/2021,26,45,9,17,1516,1584,TN,2/7/2021,20,39
TX,1/31/2021,138,174,132,180,11107,11593,TX,2/7/2021,134,161
UT,1/31/2021,1,2,0,12,394,501,UT,2/7/2021,0,0
VA,1/31/2021,21,22,13,20,2117,2367,VA,2/7/2021,21,23
VI,1/31/2021,1,2,0,0,2,2,VI,2/7/2021,2,2
VT,1/31/2021,2,2,1,1,65,68,VT,2/7/2021,2,2
WA,1/31/2021,8,10,2,22,725,832,WA,2/7/2021,9,9
WI,1/31/2021,10,15,4,11,730,778,WI,2/7/2021,14,17
WV,1/31/2021,20,23,0,0,509,554,WV,2/7/2021,16,22
WY,1/31/2021,3,5,3,3,54,62,WY,2/7/2021,3,5
AK,1/30/2021,1,1,0,0,39,42,AK,2/6/2021,1,1
AL,1/30/2021,34,35,15,25,1985,2146,AL,2/6/2021,32,34
AR,1/30/2021,16,20,6,18,851,997,AR,2/6/2021,21,26
AZ,1/30/2021,30,31,38,62,3323,3771,AZ,2/6/2021,30,34
CA,1/30/2021,152,164,131,158,14702,15304,CA,2/6/2021,137,153
CO,1/30/2021,6,5,18,28,580,639,CO,2/6/2021,6,5
CT,1/30/2021,4,4,4,6,949,1055,CT,2/6/2021,4,4
DC,1/30/2021,0,0,9,31,272,322,DC,2/6/2021,0,0
DE,1/30/2021,1,1,3,5,318,347,DE,2/6/2021,1,1
FL,1/30/2021,11,30,44,64,6349,6808,FL,2/6/2021,10,25
GA,1/30/2021,42,48,26,62,4370,4633,GA,2/6/2021,42,47
HI,1/30/2021,2,2,0,1,75,92,HI,2/6/2021,2,3
IA,1/30/2021,2,3,7,10,351,365,IA,2/6/2021,3,4
ID,1/30/2021,5,5,4,5,219,222,ID,2/6/2021,5,5
IL,1/30/2021,12,13,24,48,2143,2565,IL,2/6/2021,13,13
IN,1/30/2021,14,19,15,23,1351,1585,IN,2/6/2021,15,18
KS,1/30/2021,12,15,3,4,577,636,KS,2/6/2021,12,15
KY,1/30/2021,1,5,2,7,1325,1408,KY,2/6/2021,0,7
LA,1/30/2021,44,48,5,8,1390,1292,LA,2/6/2021,44,49
MA,1/30/2021,10,11,12,15,1421,1595,MA,2/6/2021,10,10
MD,1/30/2021,3,3,14,30,1404,1697,MD,2/6/2021,3,3
ME,1/30/2021,2,4,1,1,170,193,ME,2/6/2021,1,2
MI,1/30/2021,23,26,29,34,1274,1392,MI,2/6/2021,11,14
MN,1/30/2021,19,21,10,12,383,443,MN,2/6/2021,19,20
MO,1/30/2021,24,33,31,80,1412,1691,MO,2/6/2021,21,30
MS,1/30/2021,11,16,17,20,805,926,MS,2/6/2021,11,15
MT,1/30/2021,9,10,1,1,112,120,MT,2/6/2021,9,10
NC,1/30/2021,4,6,42,67,2685,2844,NC,2/6/2021,2,2
ND,1/30/2021,15,15,1,1,82,109,ND,2/6/2021,15,14
NE,1/30/2021,8,19,5,7,301,318,NE,2/6/2021,8,17
NH,1/30/2021,6,8,0,0,212,258,NH,2/6/2021,4,5
NJ,1/30/2021,10,10,11,37,2806,3036,NJ,2/6/2021,11,11
NM,1/30/2021,16,16,6,10,509,579,NM,2/6/2021,14,17
NV,1/30/2021,0,0,6,6,1153,1252,NV,2/6/2021,0,0
NY,1/30/2021,7,10,72,130,8165,8763,NY,2/6/2021,7,7
OH,1/30/2021,17,34,43,81,2632,2924,OH,2/6/2021,17,34
OK,1/30/2021,37,45,65,72,1268,1320,OK,2/6/2021,35,40
OR,1/30/2021,1,1,3,6,308,391,OR,2/6/2021,1,2
PA,1/30/2021,23,28,42,73,3503,3992,PA,2/6/2021,26,32
PR,1/30/2021,0,0,4,20,199,266,PR,2/6/2021,0,0
RI,1/30/2021,6,6,2,2,335,368,RI,2/6/2021,4,5
SC,1/30/2021,27,24,4,9,1705,1818,SC,2/6/2021,27,25
SD,1/30/2021,1,2,3,5,98,119,SD,2/6/2021,0,0
TN,1/30/2021,27,46,10,17,1549,1596,TN,2/6/2021,22,43
TX,1/30/2021,140,177,137,166,11181,11708,TX,2/6/2021,133,158
UT,1/30/2021,1,2,0,14,398,513,UT,2/6/2021,0,0
VA,1/30/2021,21,22,11,17,2138,2414,VA,2/6/2021,20,24
VI,1/30/2021,1,2,0,0,3,3,VI,2/6/2021,2,2
VT,1/30/2021,2,2,0,0,61,64,VT,2/6/2021,2,2
WA,1/30/2021,9,12,2,20,695,816,WA,2/6/2021,8,8
WI,1/30/2021,10,16,3,13,703,764,WI,2/6/2021,15,19
WV,1/30/2021,19,23,0,1,529,572,WV,2/6/2021,16,21
WY,1/30/2021,3,5,3,3,52,63,WY,2/6/2021,3,5
AK,1/29/2021,1,1,0,0,37,39,AK,2/5/2021,1,1
AL,1/29/2021,34,36,16,26,2070,2249,AL,2/5/2021,33,34
AR,1/29/2021,18,21,3,18,891,1034,AR,2/5/2021,20,24
AZ,1/29/2021,28,31,35,60,3440,3915,AZ,2/5/2021,28,33
CA,1/29/2021,155,172,139,158,15318,15926,CA,2/5/2021,144,155
CO,1/29/2021,7,6,16,23,607,661,CO,2/5/2021,6,6
CT,1/29/2021,4,4,4,6,982,1099,CT,2/5/2021,4,4
DC,1/29/2021,0,0,12,29,286,346,DC,2/5/2021,0,0
DE,1/29/2021,1,1,3,6,308,343,DE,2/5/2021,2,2
FL,1/29/2021,10,28,54,64,6523,7004,FL,2/5/2021,10,26
GA,1/29/2021,43,49,28,82,4600,4831,GA,2/5/2021,41,47
