state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,state,date,critical_staffing_shortage_today_yes_wkLtr,critical_staffing_shortage_anticipated_within_week_yes
NE,4/2/2021,10,16,2,4,123,139,NE,4/9/2021,7,13
NH,4/2/2021,4,5,0,2,83,92,NH,4/9/2021,3,4
NJ,4/2/2021,7,8,6,26,2233,2396,NJ,4/9/2021,8,8
NM,4/2/2021,15,16,7,7,96,100,NM,4/9/2021,15,17
NV,4/2/2021,0,0,5,1,243,271,NV,4/9/2021,0,0
NY,4/2/2021,5,5,46,100,4683,5195,NY,4/9/2021,4,4
OH,4/2/2021,10,18,20,106,1033,1281,OH,4/9/2021,11,17
OK,4/2/2021,31,35,31,35,249,296,OK,4/9/2021,27,30
OR,4/2/2021,3,3,6,9,158,202,OR,4/9/2021,2,2
PA,4/2/2021,19,25,29,49,2226,2609,PA,4/9/2021,19,24
PR,4/2/2021,0,0,8,19,201,234,PR,4/9/2021,4,6
RI,4/2/2021,3,3,1,1,144,180,RI,4/9/2021,4,4
SC,4/2/2021,21,21,1,3,466,504,SC,4/9/2021,21,21
SD,4/2/2021,1,1,2,5,69,98,SD,4/9/2021,0,1
TN,4/2/2021,14,32,14,18,776,852,TN,4/9/2021,11,30
TX,4/2/2021,107,125,54,93,2800,3266,TX,4/9/2021,99,116
UT,4/2/2021,0,0,0,5,118,127,UT,4/9/2021,0,0
VA,4/2/2021,16,21,15,25,843,992,VA,4/9/2021,15,19
VI,4/2/2021,1,1,0,0,5,5,VI,4/9/2021,2,2
VT,4/2/2021,1,1,0,1,35,35,VT,4/9/2021,1,1
WA,4/2/2021,9,10,2,7,386,477,WA,4/9/2021,9,8
WI,4/2/2021,8,12,3,7,272,298,WI,4/9/2021,10,13
WV,4/2/2021,14,16,3,6,266,295,WV,4/9/2021,12,15
WY,4/2/2021,4,5,0,0,20,27,WY,4/9/2021,2,4
AK,4/1/2021,1,1,0,0,40,45,AK,4/8/2021,1,1
AL,4/1/2021,27,29,8,9,357,447,AL,4/8/2021,25,28
AR,4/1/2021,13,15,2,9,137,191,AR,4/8/2021,14,17
AZ,4/1/2021,26,26,12,19,360,577,AZ,4/8/2021,23,27
CA,4/1/2021,69,81,40,51,2156,2487,CA,4/8/2021,69,82
CO,4/1/2021,4,6,9,23,344,392,CO,4/8/2021,6,6
CT,4/1/2021,4,4,5,7,502,552,CT,4/8/2021,4,4
DC,4/1/2021,0,0,9,23,133,168,DC,4/8/2021,0,0
DE,4/1/2021,1,1,3,5,129,150,DE,4/8/2021,1,1
FL,4/1/2021,10,30,28,40,2917,3267,FL,4/8/2021,8,28
GA,4/1/2021,30,37,10,36,1132,1269,GA,4/8/2021,29,36
HI,4/1/2021,1,2,0,0,36,45,HI,4/8/2021,1,2
IA,4/1/2021,1,2,2,4,202,210,IA,4/8/2021,1,1
ID,4/1/2021,3,4,0,0,148,161,ID,4/8/2021,3,3
IL,4/1/2021,9,10,17,35,1240,1462,IL,4/8/2021,10,12
IN,4/1/2021,11,12,8,22,517,720,IN,4/8/2021,11,12
KS,4/1/2021,11,12,2,3,146,181,KS,4/8/2021,14,15
KY,4/1/2021,1,4,4,15,353,409,KY,4/8/2021,0,4
LA,4/1/2021,42,46,2,3,380,311,LA,4/8/2021,41,46
MA,4/1/2021,10,9,6,19,560,643,MA,4/8/2021,11,10
MD,4/1/2021,2,2,5,14,1039,1302,MD,4/8/2021,3,2
ME,4/1/2021,3,1,1,2,77,99,ME,4/8/2021,3,2
MI,4/1/2021,3,3,26,34,2559,2706,MI,4/8/2021,12,13
MN,4/1/2021,16,16,8,11,436,519,MN,4/8/2021,15,14
MO,4/1/2021,22,24,14,43,474,736,MO,4/8/2021,21,27
MS,4/1/2021,9,12,6,9,192,242,MS,4/8/2021,9,11
MT,4/1/2021,6,8,0,4,48,53,MT,4/8/2021,6,7
NC,4/1/2021,2,3,16,22,919,999,NC,4/8/2021,3,4
ND,4/1/2021,11,11,0,2,47,78,ND,4/8/2021,11,11
NE,4/1/2021,9,16,3,4,121,136,NE,4/8/2021,8,16
NH,4/1/2021,4,5,0,0,84,93,NH,4/8/2021,3,4
NJ,4/1/2021,7,7,6,28,2197,2379,NJ,4/8/2021,7,8
NM,4/1/2021,16,16,1,7,95,108,NM,4/8/2021,15,17
NV,4/1/2021,0,0,7,4,257,307,NV,4/8/2021,0,0
NY,4/1/2021,4,4,55,115,4754,5237,NY,4/8/2021,4,5
OH,4/1/2021,10,15,20,97,1023,1452,OH,4/8/2021,11,17
OK,4/1/2021,30,34,29,36,230,270,OK,4/8/2021,27,31
OR,4/1/2021,2,4,5,8,150,217,OR,4/8/2021,1,2
PA,4/1/2021,18,25,30,53,2200,2540,PA,4/8/2021,18,25
PR,4/1/2021,0,0,2,15,201,225,PR,4/8/2021,4,6
RI,4/1/2021,3,3,3,3,132,165,RI,4/8/2021,4,4
SC,4/1/2021,21,21,2,5,459,488,SC,4/8/2021,21,21
SD,4/1/2021,1,1,1,3,69,100,SD,4/8/2021,0,1
TN,4/1/2021,12,31,12,15,746,849,TN,4/8/2021,13,30
TX,4/1/2021,103,123,55,90,2849,3346,TX,4/8/2021,109,121
UT,4/1/2021,0,0,0,4,131,138,UT,4/8/2021,0,0
VA,4/1/2021,16,21,12,21,848,1034,VA,4/8/2021,15,20
VI,4/1/2021,1,1,0,0,5,5,VI,4/8/2021,2,2
VT,4/1/2021,1,1,0,0,32,32,VT,4/8/2021,1,1
WA,4/1/2021,12,10,4,6,371,439,WA,4/8/2021,11,9
WI,4/1/2021,10,13,3,6,262,292,WI,4/8/2021,9,12
WV,4/1/2021,14,15,3,7,253,274,WV,4/8/2021,12,15
WY,4/1/2021,4,5,0,0,22,30,WY,4/8/2021,3,4
AK,3/31/2021,2,2,0,0,35,36,AK,4/7/2021,1,1
AL,3/31/2021,28,30,9,9,381,477,AL,4/7/2021,28,30
AR,3/31/2021,17,22,2,16,132,181,AR,4/7/2021,16,19
AZ,3/31/2021,26,28,11,19,371,596,AZ,4/7/2021,24,26
CA,3/31/2021,69,84,38,51,2217,2572,CA,4/7/2021,72,83
CO,3/31/2021,6,5,9,23,347,396,CO,4/7/2021,7,6
CT,3/31/2021,4,4,6,13,497,546,CT,4/7/2021,4,4
DC,3/31/2021,0,0,8,28,139,169,DC,4/7/2021,0,0
DE,3/31/2021,1,1,6,7,130,143,DE,4/7/2021,1,1
FL,3/31/2021,11,28,34,43,2970,3285,FL,4/7/2021,9,29
GA,3/31/2021,30,36,13,42,1141,1285,GA,4/7/2021,29,36
HI,3/31/2021,1,2,0,1,36,49,HI,4/7/2021,1,2
IA,3/31/2021,2,2,1,9,193,206,IA,4/7/2021,2,2
ID,3/31/2021,3,4,0,0,147,157,ID,4/7/2021,4,4
IL,3/31/2021,9,10,14,32,1236,1484,IL,4/7/2021,12,11
IN,3/31/2021,11,11,7,23,485,683,IN,4/7/2021,11,11
KS,3/31/2021,12,14,2,3,144,184,KS,4/7/2021,14,15
KY,3/31/2021,1,3,4,11,359,427,KY,4/7/2021,0,4
LA,3/31/2021,42,46,2,4,395,327,LA,4/7/2021,42,46
MA,3/31/2021,10,9,4,18,551,622,MA,4/7/2021,11,9
MD,3/31/2021,2,1,7,19,1023,1280,MD,4/7/2021,3,2
ME,3/31/2021,2,2,2,3,79,100,ME,4/7/2021,4,1
MI,3/31/2021,3,3,18,25,2424,2569,MI,4/7/2021,3,4
MN,3/31/2021,15,15,7,9,434,538,MN,4/7/2021,14,14
MO,3/31/2021,22,27,16,45,469,719,MO,4/7/2021,22,26
MS,3/31/2021,8,12,6,10,195,253,MS,4/7/2021,10,12
MT,3/31/2021,7,7,1,1,46,49,MT,4/7/2021,6,6
NC,3/31/2021,3,5,17,28,921,1003,NC,4/7/2021,4,4
ND,3/31/2021,12,12,0,3,47,73,ND,4/7/2021,12,12
NE,3/31/2021,9,16,6,8,114,131,NE,4/7/2021,8,16
NH,3/31/2021,5,5,0,0,77,92,NH,4/7/2021,4,5
NJ,3/31/2021,7,10,16,40,2184,2368,NJ,4/7/2021,7,8
NM,3/31/2021,17,17,2,8,96,103,NM,4/7/2021,14,16
NV,3/31/2021,0,0,5,3,240,263,NV,4/7/2021,0,0
