critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
2,2,224,157,14,7
16,21,2809,2491,52,34
0,0,277,248,35,13
4,4,190,157,2,2
20,20,501,476,6,4
1,2,83,64,5,2
15,33,910,823,15,13
0,0,143,127,4,0
15,20,1053,860,19,10
2,2,5,5,0,0
1,1,27,25,2,0
10,9,477,389,11,2
11,11,337,304,7,2
12,14,312,275,3,2
4,4,25,19,1,0
1,1,40,39,5,1
28,29,377,314,14,2
15,18,165,123,2,0
27,28,508,344,12,8
67,79,2275,1948,53,36
5,6,403,353,19,6
4,4,561,510,6,3
0,0,156,130,27,8
0,0,175,135,3,3
9,29,3282,2997,39,36
29,36,1285,1072,32,12
1,2,48,44,1,0
2,1,221,216,2,1
3,3,161,155,0,0
9,11,1603,1433,38,16
9,9,709,487,10,0
12,13,165,141,2,1
0,4,381,328,17,4
43,46,281,340,6,1
7,6,636,550,40,10
2,2,1436,1171,21,11
3,3,106,89,1,1
3,3,3277,3103,44,31
16,15,586,499,9,6
20,24,682,459,41,10
10,12,218,168,11,4
6,6,33,34,0,0
4,4,983,928,25,16
9,9,86,51,9,2
8,16,161,143,2,1
4,5,98,88,3,1
7,7,2359,2237,26,7
14,15,88,83,7,0
0,0,314,255,3,4
4,5,5279,4664,97,50
11,17,1401,1079,114,23
28,32,296,249,32,26
2,2,233,172,10,5
17,23,2664,2364,47,29
0,0,250,228,38,14
3,3,185,152,3,3
20,20,502,463,3,3
1,2,85,67,7,1
13,31,853,783,16,12
0,0,131,121,4,0
17,21,1055,875,21,11
2,2,4,4,0,0
1,1,24,24,0,0
11,10,476,402,8,1
9,10,300,273,8,2
13,15,270,260,2,1
4,4,21,17,0,0
1,1,36,35,0,0
26,28,443,338,16,8
15,18,159,120,9,1
26,28,548,355,19,10
75,85,2349,1998,61,44
6,6,391,337,26,12
4,4,527,482,7,4
0,0,152,131,21,7
1,1,175,137,5,4
10,30,3242,2928,40,29
28,35,1240,1061,34,11
1,1,53,42,2,0
2,2,219,204,2,1
4,4,167,154,1,0
10,11,1602,1357,39,16
11,11,714,483,11,2
11,15,176,146,4,2
0,3,372,321,12,5
41,46,272,338,4,1
10,9,647,551,14,11
3,3,1418,1156,20,11
1,2,99,81,3,2
4,3,3083,2919,39,23
15,15,533,454,11,8
22,25,655,452,40,10
8,12,202,161,10,4
6,6,39,39,4,0
3,4,938,880,24,16
12,12,79,49,8,1
10,15,151,132,1,1
3,5,97,84,2,0
7,8,2378,2209,27,7
16,17,98,92,4,2
0,0,281,237,6,4
4,6,5095,4595,99,52
11,17,1344,1041,88,16
31,32,282,245,30,27
3,2,198,147,12,6
21,26,2567,2276,57,34
0,0,232,209,29,10
3,3,177,143,3,3
21,21,513,472,4,3
1,1,87,62,3,1
12,31,855,774,15,13
0,0,120,111,4,0
15,21,1013,847,19,12
2,2,4,4,0,0
2,1,26,26,0,0
7,7,639,413,51,16
10,12,286,268,10,3
14,15,287,262,3,2
4,5,26,19,0,0
1,1,40,37,0,0
24,28,443,335,9,8
13,17,159,119,5,2
26,27,540,350,15,9
70,83,2360,2021,57,41
6,7,402,337,18,12
4,4,560,492,9,5
0,0,156,126,23,9
1,1,166,136,5,4
11,31,3235,2917,84,56
28,35,1234,1059,26,9
1,1,56,42,2,0
2,2,201,196,6,4
4,4,169,153,1,0
11,9,1511,1288,35,17
10,10,713,502,17,5
10,14,186,153,3,2
0,4,372,303,19,6
42,46,295,355,2,1
10,9,646,557,11,8
3,3,1377,1115,18,9
1,2,89,78,2,2
3,3,2928,2755,40,26
15,15,545,461,12,9
21,24,669,452,35,10
9,11,203,162,11,5
6,6,37,37,2,0
3,4,941,877,15,12
11,11,84,50,5,1
10,16,142,131,2,2
2,3,93,84,1,0
9,9,2342,2163,24,7
15,16,97,95,3,1
0,0,264,230,4,4
3,4,5005,4516,88,48
11,17,1300,1020,90,17
30,33,280,239,30,28
3,4,212,154,11,7
20,24,2536,2171,56,34
0,0,233,205,22,14
3,3,176,141,3,3
21,21,504,469,4,2
1,1,85,62,4,1
13,32,849,783,14,10
0,0,132,119,4,0
15,21,995,826,16,11
2,2,4,4,0,0
1,1,35,35,0,0
9,8,455,381,6,2
10,15,296,266,10,3
15,16,287,256,3,3
4,5,25,20,0,0
1,1,49,47,0,0
27,29,455,372,5,6
15,19,179,132,7,2
25,26,555,356,13,11
70,80,2410,2067,47,35
6,7,406,357,24,14
4,4,547,489,8,6
0,0,169,135,21,9
1,1,164,135,3,3
10,30,3260,2938,56,48
30,37,1216,1067,27,10
1,1,50,41,1,0
3,3,205,196,9,3
4,4,140,137,0,0
9,10,1470,1273,28,16
11,12,698,503,24,5
12,13,179,141,4,3
0,3,385,330,16,5
42,46,320,383,9,2
10,9,628,554,11,8
3,3,1325,1056,18,8
3,2,94,77,4,3
3,3,2796,2638,42,30
17,16,542,459,11,8
24,27,730,467,43,14
10,12,229,173,13,6
6,7,43,39,2,0
3,4,970,904,23,15
12,12,87,55,5,1
10,16,139,123,4,2
4,5,92,83,2,0
7,8,2396,2233,26,6
15,16,100,96,7,7
0,0,271,243,1,5
5,5,5195,4683,100,46
10,18,1281,1033,106,20
31,35,296,249,35,31
3,3,202,158,9,6
19,25,2609,2226,49,29
0,0,234,201,19,8
3,3,180,144,1,1
21,21,504,466,3,1
1,1,98,69,5,2
14,32,852,776,18,14
0,0,127,118,5,0
16,21,992,843,25,15
1,1,5,5,0,0
1,1,35,35,1,0
9,10,477,386,7,2
8,12,298,272,7,3
14,16,295,266,6,3
4,5,27,20,0,0
1,1,45,40,0,0
27,29,447,357,9,8
13,15,191,137,9,2
26,26,577,360,19,12
69,81,2487,2156,51,40
4,6,392,344,23,9
4,4,552,502,7,5
0,0,168,133,23,9
1,1,150,129,5,3
10,30,3267,2917,40,28
30,37,1269,1132,36,10
1,2,45,36,0,0
1,2,210,202,4,2
3,4,161,148,0,0
9,10,1462,1240,35,17
11,12,720,517,22,8
11,12,181,146,3,2
1,4,409,353,15,4
42,46,311,380,3,2
10,9,643,560,19,6
2,2,1302,1039,14,5
3,1,99,77,2,1
3,3,2706,2559,34,26
16,16,519,436,11,8
22,24,736,474,43,14
9,12,242,192,9,6
6,8,53,48,4,0
2,3,999,919,22,16
11,11,78,47,2,0
9,16,136,121,4,3
4,5,93,84,0,0
7,7,2379,2197,28,6
16,16,108,95,7,1
0,0,307,257,4,7
4,4,5237,4754,115,55
10,15,1452,1023,97,20
30,34,270,230,36,29
2,4,217,150,8,5
18,25,2540,2200,53,30
0,0,225,201,15,2
3,3,165,132,3,3
21,21,488,459,5,2
1,1,100,69,3,1
12,31,849,746,15,12
0,0,138,131,4,0
16,21,1034,848,21,12
1,1,5,5,0,0
1,1,32,32,0,0
12,10,439,371,6,4
10,13,292,262,6,3
14,15,274,253,7,3
4,5,30,22,0,0
2,2,36,35,0,0
28,30,477,381,9,9
17,22,181,132,16,2
26,28,596,371,19,11
69,84,2572,2217,51,38
6,5,396,347,23,9
4,4,546,497,13,6
0,0,169,139,28,8
1,1,143,130,7,6
11,28,3285,2970,43,34
30,36,1285,1141,42,13
1,2,49,36,1,0
2,2,206,193,9,1
3,4,157,147,0,0
9,10,1484,1236,32,14
11,11,683,485,23,7
12,14,184,144,3,2
1,3,427,359,11,4
42,46,327,395,4,2
10,9,622,551,18,4
2,1,1280,1023,19,7
2,2,100,79,3,2
3,3,2569,2424,25,18
15,15,538,434,9,7
22,27,719,469,45,16
8,12,253,195,10,6
7,7,49,46,1,1
3,5,1003,921,28,17
12,12,73,47,3,0
9,16,131,114,8,6
5,5,92,77,0,0
7,10,2368,2184,40,16
17,17,103,96,8,2
0,0,263,240,3,5
4,5,5409,4833,115,53
8,13,1353,984,98,24
31,36,291,246,31,27
4,5,201,143,9,5
19,24,2544,2143,55,33
7,7,221,191,17,5
3,3,165,132,3,3
22,22,471,439,5,2
1,1,94,66,4,1
17,35,886,788,17,13
0,0,136,128,6,0
16,23,1007,861,22,12
2,2,6,6,0,0
2,1,32,31,0,0
7,10,435,368,9,7
9,13,293,263,8,2
14,15,275,242,6,3
3,4,26,21,0,0
1,2,35,35,0,0
26,29,425,360,8,1
13,16,190,140,11,3
27,26,549,359,19,10
67,85,2573,2240,50,43
5,4,388,351,19,4
4,4,586,525,10,6
0,0,165,138,29,9
0,0,133,123,7,6
6,24,3286,2981,46,37
29,35,1308,1158,40,16
2,3,45,39,5,0
1,1,200,190,6,1
2,3,160,148,0,0
9,8,1453,1220,24,10
10,10,642,425,21,5
9,12,173,141,1,0
1,3,418,339,15,4
42,46,319,392,6,4
8,6,601,524,21,5
1,1,1286,1020,16,6
1,1,94,79,0,0
3,3,2437,2300,27,19
16,15,507,409,10,7
23,27,754,474,43,15
9,11,270,210,12,4
6,7,49,46,1,1
3,3,951,883,27,16
11,11,61,37,2,0
10,16,136,112,5,4
4,5,87,75,0,0
6,5,2395,2228,28,9
15,16,107,100,9,4
0,0,260,221,3,5
5,5,5384,4816,102,44
8,14,1271,975,96,21
29,32,305,261,33,30
3,2,202,141,9,4
19,22,2503,2125,88,27
0,0,210,187,18,9
3,3,174,138,2,2
20,20,485,453,5,5
0,0,89,66,9,2
17,37,899,809,16,13
1,0,130,125,6,0
15,22,1005,856,25,14
1,1,7,7,0,0
2,1,27,26,0,0
8,9,456,361,5,3
11,14,300,271,5,1
13,16,262,248,4,2
3,4,21,18,0,0
1,1,32,31,0,0
24,28,431,352,7,0
15,19,176,137,9,2
26,28,559,370,12,5
69,85,2525,2234,48,38
5,4,379,343,30,5
4,4,585,532,8,4
0,0,170,136,32,11
0,0,138,123,7,5
9,25,3296,2989,35,28
30,35,1285,1154,40,16
1,2,48,40,3,0
1,1,197,185,5,1
2,3,173,160,1,0
13,15,1408,1197,28,11
9,10,608,407,13,4
11,13,170,140,2,0
1,3,384,335,11,2
43,47,328,397,6,3
7,6,636,540,38,6
1,1,1311,1022,13,5
1,0,98,78,1,0
3,3,2312,2170,21,15
17,17,428,355,8,7
24,26,666,484,45,18
9,11,286,218,8,4
6,7,50,46,2,1
3,3,904,853,25,15
11,11,66,38,2,0
8,15,113,98,4,3
3,4,93,76,1,0
5,7,2369,2194,27,11
14,14,118,109,9,5
0,0,255,221,9,6
4,5,5511,4863,103,46
9,14,1333,961,86,26
30,35,308,268,33,30
3,2,205,148,8,3
18,21,2296,1990,72,22
0,0,195,154,16,5
3,3,163,124,1,1
20,20,507,473,6,5
1,1,83,60,7,0
15,35,881,787,11,9
0,0,131,127,7,0
16,23,998,860,26,15
2,2,5,5,0,0
1,1,26,25,0,0
7,9,416,338,7,4
9,14,271,250,6,1
13,16,254,236,5,3
3,4,20,14,0,0
1,1,33,32,1,1
24,27,489,368,7,5
13,16,202,148,10,2
27,27,590,398,9,5
73,87,2584,2269,54,45
7,6,402,355,20,6
4,4,549,512,14,6
0,0,160,135,30,11
0,0,141,126,7,4
10,27,3245,2903,37,29
29,34,1273,1125,56,12
1,1,51,40,1,0
1,1,203,192,4,4
4,4,168,161,2,0
12,15,1383,1177,35,11
9,11,649,431,15,6
11,14,181,147,2,1
1,4,384,333,11,2
43,47,329,405,5,3
10,9,641,552,27,7
2,2,1296,997,11,4
1,2,97,78,1,1
2,3,2096,1960,26,14
16,16,410,341,9,7
22,26,749,507,39,15
9,12,285,233,7,5
6,6,46,44,2,1
2,3,896,826,17,13
12,12,63,36,2,0
