critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
13,15,598,484,7,4
10,9,85,83,4,2
4,4,1785,1684,37,26
11,11,101,78,7,2
9,17,201,187,3,2
4,5,125,110,0,0
8,12,2301,2089,19,5
20,20,301,280,7,3
0,0,728,663,2,5
5,7,6982,6412,170,50
15,31,1781,1505,69,33
36,39,863,814,56,54
2,2,275,207,10,6
25,29,2544,2133,40,33
0,0,213,148,23,1
4,4,217,177,2,2
23,24,1080,993,10,9
2,2,87,51,3,2
22,40,1126,1019,8,6
0,0,272,250,14,0
22,23,1671,1475,24,13
2,2,0,0,0,0
2,2,42,38,0,0
7,8,598,538,15,1
12,17,465,437,9,2
20,22,405,340,3,2
2,4,47,35,0,0
1,1,34,29,0,0
30,36,1253,1108,16,36
20,20,696,584,12,5
24,28,1811,1509,23,17
6,8,521,460,19,10
4,4,671,580,5,3
0,0,280,245,16,2
1,1,213,199,1,1
13,31,5044,4624,51,46
39,44,3240,2756,67,27
2,3,53,41,2,0
4,5,251,247,6,5
4,4,138,129,4,4
11,11,1731,1400,33,11
13,18,955,712,22,14
12,16,421,375,4,3
0,5,993,912,5,1
42,45,743,834,4,4
10,10,970,843,7,5
2,1,1317,1027,10,7
3,2,112,97,1,0
5,5,921,810,13,11
19,20,369,294,14,9
25,30,1213,911,44,27
15,18,593,495,11,4
11,9,97,94,3,1
5,5,1872,1809,37,26
12,11,109,79,6,2
10,17,197,187,2,1
5,6,135,118,0,0
9,13,2412,2198,23,8
17,17,314,282,10,2
0,0,760,678,3,5
5,7,7365,6722,171,45
15,31,1868,1546,53,22
38,42,883,827,58,55
5,4,300,217,12,8
23,28,2689,2209,52,34
8,8,219,156,26,1
3,3,222,185,1,1
22,23,1130,1043,9,7
1,1,90,70,3,2
24,41,1186,1089,17,15
0,0,284,255,12,0
21,22,1772,1521,29,17
2,2,0,0,0,0
2,2,49,43,0,0
8,10,604,541,16,1
12,16,462,429,6,0
21,23,395,351,4,3
2,4,43,35,1,1
1,1,32,31,2,2
31,35,1199,1103,17,12
17,18,612,572,13,4
25,28,1868,1589,32,18
6,6,505,452,19,12
4,4,698,599,8,6
0,0,280,241,14,1
1,1,199,186,4,4
10,28,5135,4744,65,52
39,43,3134,2822,64,34
1,2,56,44,1,0
2,2,241,231,5,4
3,3,155,139,1,1
16,14,1759,1434,42,19
15,15,1025,806,24,18
12,16,408,354,3,2
1,5,947,887,9,1
42,46,760,861,3,3
7,7,970,861,11,7
2,1,1330,1063,11,8
2,2,128,100,1,0
5,6,919,813,14,9
20,20,394,310,11,7
26,29,1231,958,38,20
12,17,605,513,9,4
10,9,85,83,2,2
5,4,1901,1828,38,27
11,11,117,86,11,4
9,17,202,181,2,1
3,5,130,118,0,0
6,9,2415,2232,26,10
17,17,299,277,9,4
0,0,757,718,4,8
6,8,7341,6781,173,51
16,33,1870,1567,61,18
36,42,893,847,61,57
2,2,290,225,13,9
22,27,2741,2254,50,28
0,0,195,150,28,0
3,3,246,210,2,2
22,23,1087,1031,18,10
2,2,89,75,4,3
23,40,1212,1117,17,14
0,0,273,257,12,0
22,24,1738,1540,28,16
2,2,0,0,0,0
2,2,42,37,0,0
6,10,602,549,3,0
15,18,492,445,5,1
20,23,380,341,4,2
3,5,40,36,1,1
1,1,32,27,10,2
31,35,1232,1135,13,9
20,21,612,558,13,8
25,29,1946,1678,24,18
6,6,489,434,23,11
4,4,697,618,3,3
0,0,257,231,20,4
1,1,192,182,5,4
10,29,5084,4749,55,47
39,44,3215,2937,52,26
2,2,50,45,1,0
2,2,264,253,2,2
3,3,163,147,1,1
15,16,1768,1443,44,21
11,15,956,755,20,16
14,17,421,365,7,5
1,5,948,878,11,2
42,45,744,846,6,3
8,7,968,864,27,8
1,1,1395,1147,13,8
3,2,119,102,0,0
6,6,931,834,15,12
18,19,374,310,14,7
25,30,1263,974,33,17
11,16,587,486,5,4
8,8,88,87,1,1
6,6,1902,1848,31,23
12,12,114,80,9,3
9,17,186,172,4,3
4,6,119,104,0,0
8,9,2447,2282,21,6
19,20,306,289,9,4
0,0,788,742,10,9
6,8,7374,6799,163,50
17,33,1882,1627,47,18
37,41,913,875,58,52
2,2,292,236,12,9
23,26,2716,2299,45,27
0,0,199,152,20,3
4,4,241,203,1,1
22,23,1150,1068,13,9
2,2,92,76,4,3
23,41,1172,1107,16,13
0,0,276,252,12,0
21,23,1730,1571,23,15
2,2,1,1,0,0
2,2,43,39,0,0
9,6,599,530,6,5
15,17,475,454,7,1
17,22,373,345,2,1
3,5,44,37,1,1
1,1,32,27,1,1
31,34,1400,1205,20,16
21,24,687,596,14,8
27,32,2114,1749,32,21
7,7,490,439,25,10
4,4,716,635,7,4
0,0,251,230,19,6
2,2,209,198,8,6
10,28,5193,4758,55,42
40,45,3305,2997,48,26
2,2,49,42,1,0
3,3,256,240,2,2
5,5,173,162,4,2
17,16,1845,1500,38,17
11,14,1055,806,20,13
13,16,450,384,6,5
1,5,1041,925,12,0
43,46,759,860,6,4
9,10,1039,893,12,7
2,2,1396,1154,13,8
2,2,120,105,0,0
4,6,940,830,19,15
20,20,392,317,12,7
24,30,1256,974,35,19
7,14,625,517,7,5
9,9,88,86,2,2
4,4,1915,1867,35,23
13,13,115,78,3,1
9,16,202,189,3,3
3,5,137,120,0,0
9,11,2564,2336,29,8
18,18,318,304,29,3
0,0,803,753,5,14
6,8,7372,6854,166,48
16,34,1883,1655,59,34
35,40,908,864,56,51
2,2,306,248,9,7
24,28,2689,2300,40,25
0,0,211,162,20,3
4,4,252,212,0,0
23,24,1214,1098,14,9
1,1,85,70,2,2
26,42,1137,1073,16,13
0,0,288,262,13,0
20,22,1782,1590,23,11
2,2,1,1,0,0
2,2,50,45,1,0
11,12,596,514,21,3
13,16,453,443,10,1
16,21,433,372,3,1
3,5,46,44,1,1
1,1,32,29,1,1
32,35,1328,1193,20,15
23,27,714,615,16,9
28,32,2205,1818,35,23
5,7,508,452,20,11
4,4,720,637,10,6
0,0,261,231,25,6
2,2,233,216,8,5
10,29,5264,4791,56,45
39,45,3427,3104,49,18
2,2,59,47,1,0
2,2,244,232,7,7
5,5,176,165,2,2
12,14,1859,1513,34,13
13,15,1023,807,15,12
14,18,441,383,4,2
0,5,1094,971,13,1
42,45,768,876,6,5
9,10,1060,907,16,10
2,2,1430,1169,14,9
1,2,131,112,0,0
5,6,945,849,17,13
19,20,396,319,10,6
24,33,1285,967,53,24
12,17,624,524,8,4
10,10,80,77,2,2
3,4,2003,1915,36,25
12,12,121,83,3,1
10,16,205,187,4,4
4,6,142,121,0,0
9,11,2599,2337,25,7
16,19,327,316,7,4
0,0,863,796,6,9
6,8,7423,6840,180,46
17,33,1962,1715,71,33
37,44,943,903,56,50
3,1,303,248,10,7
20,26,2748,2351,42,27
0,0,208,163,10,2
4,4,265,227,0,0
23,24,1236,1128,14,9
0,0,86,68,1,1
26,43,1185,1105,15,12
0,0,306,278,13,0
21,23,1810,1623,27,13
2,2,2,2,0,0
2,2,52,47,0,0
10,11,614,526,20,6
14,17,473,458,9,1
17,21,442,379,3,2
3,5,47,43,1,1
1,1,36,33,1,1
33,36,1468,1329,25,15
18,20,751,649,15,7
26,31,2269,1892,40,24
6,8,500,449,16,11
4,4,748,668,7,5
0,0,258,227,24,8
1,1,252,239,6,4
10,28,5396,4972,51,42
38,43,3409,3166,49,21
2,3,68,51,8,0
2,2,227,222,4,3
5,5,166,156,2,2
14,13,1940,1600,33,16
15,18,1076,844,18,11
11,14,456,403,4,2
0,8,1136,1038,16,2
43,46,832,917,9,7
10,10,1067,910,16,7
3,2,1446,1190,14,10
3,2,133,116,0,0
5,6,1026,912,12,10
21,20,400,327,10,8
24,28,1357,1054,55,26
12,16,655,551,11,8
10,10,87,84,3,3
4,3,2070,1978,41,29
14,14,110,80,5,2
10,17,211,196,4,4
4,6,136,118,1,0
10,11,2657,2426,28,9
19,20,352,340,7,3
0,0,892,816,2,8
15,33,2053,1800,58,24
39,46,975,933,54,53
3,1,305,245,9,6
21,24,2997,2535,50,34
0,0,222,174,23,4
4,4,272,234,0,0
27,24,1286,1181,14,8
2,2,82,66,1,0
26,43,1212,1144,17,13
0,0,323,282,14,0
20,22,1919,1694,20,12
2,2,6,6,0,0
2,2,53,47,0,0
9,10,602,517,19,5
16,19,531,496,13,1
17,21,456,381,3,3
3,5,50,43,1,1
1,1,36,32,1,1
33,37,1584,1415,19,13
18,20,780,672,13,6
29,32,2385,2024,33,19
7,7,528,457,18,14
4,4,785,692,8,6
0,0,268,241,27,7
2,2,254,246,7,5
10,25,5517,5097,42,33
42,46,3542,3279,62,23
1,2,67,52,1,0
3,3,256,247,3,2
5,5,169,162,2,2
14,14,2009,1649,46,25
15,17,1163,881,20,13
14,15,459,406,3,2
1,6,1139,1041,13,3
43,46,881,972,8,8
10,11,1122,989,26,8
3,2,1499,1226,13,10
2,2,140,113,0,0
4,6,1052,944,15,12
19,20,411,324,9,7
24,31,1389,1074,59,32
10,14,658,553,13,9
10,9,109,104,2,2
4,4,2145,2065,39,26
13,13,110,78,5,2
9,17,215,205,5,5
3,5,147,127,0,0
10,10,2694,2453,20,5
20,20,401,364,11,6
0,0,898,828,10,8
18,33,2156,1879,65,28
38,45,1011,981,56,53
1,1,300,236,12,5
24,27,3165,2647,64,33
0,0,239,188,32,5
4,4,267,231,1,1
26,23,1331,1230,12,8
2,2,82,65,1,0
22,40,1283,1183,18,16
0,0,331,297,17,0
21,22,1989,1772,19,12
2,2,6,6,0,0
2,2,54,48,1,0
5,6,623,549,21,5
13,18,563,533,8,2
18,22,455,396,5,5
3,5,51,39,1,1
1,1,33,32,1,1
32,36,1619,1484,26,15
15,15,800,687,12,4
29,32,2509,2117,32,23
6,7,501,442,21,12
4,4,829,746,9,5
0,0,296,265,25,6
1,1,271,250,10,7
11,27,5669,5262,48,37
42,46,3689,3418,52,22
2,3,71,54,7,1
2,3,278,270,4,3
5,5,176,167,4,3
12,12,2189,1705,33,20
16,18,1190,924,24,17
12,16,482,436,4,2
1,7,1212,1092,10,8
45,47,943,1048,11,6
10,10,1227,1084,16,10
3,2,1522,1234,15,10
3,2,149,124,0,0
4,6,1104,988,14,12
19,20,402,319,10,6
28,35,1428,1120,62,35
14,15,708,571,12,5
9,9,116,111,1,1
4,5,2208,2123,33,25
14,14,117,81,7,3
9,17,244,220,5,5
6,6,156,132,1,0
10,11,2769,2522,16,6
19,18,423,375,16,6
0,0,939,864,6,10
19,33,2223,1950,61,30
40,43,1041,998,64,56
2,2,303,244,12,5
23,27,3429,2830,81,40
7,7,238,182,19,4
4,4,279,241,1,1
20,21,1381,1270,18,11
1,1,101,84,1,0
22,41,1309,1220,18,14
0,0,340,302,14,0
21,23,2079,1826,23,10
2,2,5,5,0,0
2,2,57,53,2,1
7,8,618,539,21,6
12,17,573,531,11,3
19,22,483,416,3,3
3,5,59,43,2,2
1,1,32,32,0,0
31,34,1582,1448,21,9
19,21,749,687,10,2
25,29,2506,2188,46,30
6,4,542,478,28,13
4,4,869,777,8,5
0,0,318,266,23,5
1,1,248,228,9,9
9,25,5812,5420,49,44
40,45,3692,3469,54,22
2,3,75,60,3,1
2,2,301,290,2,2
3,3,178,168,2,2
12,13,2086,1713,42,24
14,16,1229,964,23,13
12,15,489,440,1,0
1,5,1205,1112,2,2
44,47,978,1090,13,7
8,7,1236,1093,20,12
4,3,1588,1259,19,10
2,3,151,120,0,0
10,13,1160,1051,16,15
20,21,411,316,9,6
20,24,1418,1126,48,27
10,14,707,592,13,3
9,9,111,107,4,4
4,5,2245,2199,30,21
13,12,114,82,5,2
9,17,255,233,7,4
4,5,164,136,1,0
8,9,2853,2652,18,4
19,19,431,376,16,5
0,0,948,889,4,5
15,32,2305,1994,76,33
36,40,1073,1027,60,55
0,0,308,247,11,7
20,28,3419,2895,58,36
0,0,230,186,23,4
5,5,291,256,4,4
26,23,1334,1267,10,6
0,1,106,86,0,0
23,42,1353,1241,23,21
0,0,342,301,10,0
20,21,2005,1820,22,11
2,2,5,5,0,0
2,2,60,53,1,1
7,9,656,580,9,7
13,17,598,559,14,6
19,21,402,387,2,0
3,5,53,33,1,1
1,1,37,34,0,0
31,36,1613,1534,20,9
21,21,763,701,7,3
26,31,2614,2305,41,27
6,4,535,467,20,13
4,4,922,837,7,6
0,0,308,276,26,5
0,0,257,252,8,8
7,23,5790,5428,49,36
40,45,3730,3512,50,25
2,3,78,65,1,1
2,3,337,325,3,2
3,3,173,163,3,3
14,14,2124,1788,44,24
15,17,1207,979,23,10
10,13,515,472,2,0
0,6,1261,1180,4,4
46,47,1010,1106,15,8
8,7,1207,1123,28,13
4,2,1658,1343,16,11
3,3,163,137,0,0
12,13,1195,1089,15,13
19,20,397,322,19,6
22,29,1429,1163,59,32
10,14,713,600,8,5
9,9,112,102,3,3
4,4,2282,2245,30,20
14,14,114,74,1,1
8,17,273,250,8,4
6,7,170,147,0,0
7,8,2881,2729,26,10
18,19,434,382,12,5
0,0,988,947,3,6
17,33,2215,2004,55,32
37,40,1096,1049,60,56
1,2,293,241,11,6
22,28,3402,3021,55,41
0,0,272,197,20,1
4,5,292,256,3,3
26,23,1391,1336,5,3
1,2,104,87,2,0
23,42,1338,1269,21,17
0,0,344,305,10,0
21,23,2042,1865,19,10
2,2,5,5,0,0
2,2,59,56,2,1
8,10,675,608,8,4
13,17,643,616,10,5
18,21,429,418,1,0
3,5,51,38,0,0
1,1,41,38,0,0
32,36,1802,1609,28,18
21,25,882,756,8,3
30,33,2859,2457,56,37
6,5,561,495,18,11
4,4,922,835,12,7
0,0,297,265,25,5
1,1,260,245,7,5
9,24,5873,5469,50,34
42,46,3795,3582,68,29
2,4,82,68,3,1
3,4,327,315,2,1
4,4,171,168,3,3
14,13,2345,1820,48,25
13,16,1284,1017,17,10
11,15,558,500,1,0
0,7,1278,1185,7,6
44,48,1016,1134,13,8
10,10,1293,1149,20,14
2,2,1725,1360,18,12
1,3,160,138,0,0
11,13,1246,1104,18,13
19,20,397,333,10,6
21,29,1455,1175,71,31
12,15,749,627,8,6
10,10,104,97,3,3
2,3,2363,2262,43,23
16,15,106,72,1,1
8,16,260,246,6,4
4,6,185,162,1,0
10,10,2965,2733,24,8
15,18,457,413,17,8
0,0,1014,957,4,5
18,34,2210,1980,75,35
33,37,1100,1072,59,55
3,2,329,261,8,2
26,32,3408,3011,65,42
0,0,250,203,15,2
4,5,289,255,4,4
27,24,1522,1410,3,3
0,0,107,90,4,0
20,39,1352,1269,19,15
0,0,363,305,7,0
21,23,2208,1864,21,11
2,2,4,4,0,0
2,2,69,65,1,1
9,9,697,632,21,3
14,17,625,592,14,5
16,22,492,429,2,1
3,5,42,38,0,0
1,1,41,37,0,0
32,34,1807,1641,27,22
21,26,878,757,13,8
30,34,2961,2550,51,40
6,5,591,480,22,10
4,4,922,822,8,5
0,0,306,268,23,4
1,1,267,260,7,5
10,25,5903,5471,49,35
42,47,3862,3623,59,33
2,3,86,69,1,1
3,4,325,314,2,2
5,5,176,170,3,3
13,13,2248,1826,50,26
15,18,1288,1020,18,11
12,15,559,499,2,1
0,7,1325,1210,2,4
44,49,1040,1142,11,10
10,10,1315,1161,15,14
3,3,1717,1383,33,11
1,2,163,138,1,0
11,14,1240,1119,16,11
19,20,443,350,15,10
21,30,1487,1189,76,38
11,15,752,628,15,9
9,10,104,100,2,2
2,2,2380,2280,39,25
15,14,118,77,1,1
8,17,278,265,4,5
4,5,190,173,0,0
11,11,2975,2732,25,10
14,17,468,416,9,4
0,0,1043,980,6,5
17,34,2293,2042,70,34
35,40,1125,1092,60,54
1,2,330,262,8,3
26,32,3469,3028,57,35
0,0,258,196,14,3
4,5,300,267,4,4
27,25,1511,1413,8,3
0,0,108,89,4,1
22,43,1348,1291,15,14
0,0,403,328,9,0
20,24,2185,1919,25,15
2,2,3,3,0,0
2,2,64,61,1,1
8,8,712,644,19,4
15,19,656,620,12,4
16,21,500,435,3,2
3,5,51,41,0,0
1,1,43,41,0,0
33,34,1879,1740,29,21
20,24,890,770,11,8
28,33,3101,2680,56,41
6,6,579,509,23,12
4,4,973,861,6,4
0,0,332,268,16,5
2,2,289,269,4,2
10,26,6014,5589,57,42
41,47,4016,3770,66,37
1,2,81,67,2,0
5,5,349,331,4,4
5,5,185,178,3,3
13,14,2372,1943,46,28
16,21,1370,1112,26,13
11,15,587,525,3,1
1,6,1350,1238,2,3
44,50,1108,1225,18,9
10,10,1389,1232,19,14
3,2,1714,1366,17,13
2,2,160,141,1,0
11,13,1294,1184,14,12
19,20,461,366,10,9
22,30,1564,1248,73,38
13,16,830,698,16,10
9,10,112,110,3,3
2,3,2454,2374,37,24
15,15,113,71,4,3
8,17,288,274,4,5
4,6,190,174,2,1
9,10,3065,2804,22,6
19,20,478,427,18,8
0,0,1034,973,2,7
19,35,2456,2189,73,37
38,45,1184,1134,61,58
1,1,341,282,9,4
25,32,3572,3099,82,38
0,0,262,183,19,3
4,5,321,288,4,4
27,24,1552,1448,10,8
1,1,112,91,3,0
26,45,1447,1358,16,12
0,0,433,336,6,0
18,22,2243,1980,32,17
2,2,3,3,0,0
2,2,64,56,1,1
8,10,705,641,16,3
12,16,672,641,10,3
17,22,492,434,3,2
3,5,53,41,0,0
1,1,42,39,0,0
33,35,1904,1747,29,20
22,25,886,764,16,8
27,34,3251,2766,57,36
6,7,615,547,19,11
4,4,940,835,10,5
0,0,328,289,22,8
1,1,307,296,7,4
9,28,6191,5753,59,44
41,48,4117,3896,76,35
1,2,82,70,4,0
3,4,365,345,5,3
5,5,193,174,3,3
13,13,2387,1934,52,27
16,21,1456,1184,18,13
11,14,606,536,4,1
0,6,1377,1267,2,1
45,49,1140,1250,18,15
10,10,1445,1273,19,11
3,3,1735,1386,19,13
5,2,179,156,1,0
12,14,1329,1191,16,13
20,20,435,362,11,8
20,29,1610,1301,66,36
12,16,854,726,17,10
9,10,113,107,2,2
6,6,2506,2408,44,26
15,15,111,67,5,3
8,17,294,277,11,9
4,7,210,190,1,1
9,10,3065,2814,19,5
19,19,490,415,18,5
0,0,1128,1050,3,7
18,34,2700,2401,67,37
37,45,1197,1159,61,57
3,3,351,283,6,2
26,31,3714,3212,64,34
0,0,260,199,15,3
4,5,342,310,3,3
26,23,1616,1507,11,8
1,1,118,96,3,0
25,44,1495,1417,16,13
0,0,437,347,9,0
18,22,2281,2038,26,13
2,2,3,3,0,0
2,2,68,59,1,1
7,9,728,648,16,2
17,16,696,650,16,7
17,21,501,447,2,0
3,5,56,45,0,0
1,1,41,39,1,1
34,35,1992,1831,32,24
19,22,897,789,18,6
30,34,3387,2933,51,37
6,7,621,554,20,12
4,4,978,851,8,5
0,0,320,278,27,6
1,1,326,315,8,6
13,31,6404,5975,63,49
42,50,4296,4034,74,29
2,4,85,65,1,0
3,5,380,356,6,4
5,5,204,193,3,3
13,12,2437,2011,55,28
16,20,1508,1236,20,15
13,15,612,547,3,1
1,6,1390,1288,6,1
44,49,1178,1265,19,16
10,10,1481,1310,15,12
3,2,1719,1381,17,13
4,3,181,162,1,1
12,13,1357,1244,22,20
20,20,456,367,12,10
27,32,1598,1309,68,37
12,16,874,754,21,12
8,9,117,115,3,2
3,3,2639,2548,45,30
15,15,110,74,5,3
8,17,289,272,9,6
5,6,217,203,0,0
11,11,3103,2859,22,5
17,17,537,451,15,6
0,0,1169,1112,5,9
18,25,2777,2504,73,34
39,47,1261,1216,60,58
1,2,368,298,13,6
26,31,3886,3349,76,42
8,8,290,211,22,3
4,5,358,323,2,2
26,23,1662,1575,10,8
2,2,123,101,3,1
23,42,1528,1440,15,9
0,0,452,369,7,0
18,22,2367,2099,31,13
2,2,3,3,0,0
2,2,57,58,1,1
7,8,757,669,20,3
13,15,744,695,12,4
18,21,522,459,1,0
3,5,53,44,1,0
1,1,44,42,1,1
31,35,1948,1862,26,18
16,18,846,770,18,8
28,31,3384,2975,49,34
7,7,610,538,24,14
4,4,983,884,5,4
0,0,344,273,24,7
1,1,344,333,6,6
12,30,6594,6128,67,52
42,49,4326,4108,67,30
2,3,86,69,1,0
2,2,390,377,6,5
3,3,194,185,5,3
11,13,2477,2045,49,25
14,18,1501,1259,31,21
10,13,602,546,3,2
1,5,1350,1259,15,2
45,49,1245,1346,16,13
8,7,1501,1351,17,14
3,2,1685,1382,22,13
2,2,183,164,2,1
11,13,1372,1238,29,28
19,20,447,378,17,9
23,29,1632,1350,50,28
11,16,929,795,21,12
9,10,119,113,3,3
4,4,2725,2592,41,30
14,14,121,76,3,1
8,18,325,300,9,4
3,5,207,193,1,0
9,9,3039,2855,30,8
19,19,537,481,11,5
0,0,1154,1118,4,6
17,33,2856,2574,61,38
34,43,1266,1230,68,60
0,1,368,289,16,5
25,28,4045,3337,89,39
0,0,282,203,23,2
5,6,361,331,3,3
25,22,1672,1616,14,9
2,2,127,107,1,0
24,44,1555,1476,18,16
0,1,448,376,10,0
18,22,2368,2121,26,13
1,2,3,3,0,0
2,2,59,56,0,0
7,8,759,686,7,2
14,18,757,718,12,5
18,21,508,497,3,0
3,5,62,51,1,0
1,1,44,39,0,0
32,35,2027,1887,26,16
18,20,823,771,14,7
30,34,3456,3117,48,35
5,4,601,542,19,9
4,4,1034,910,4,3
0,0,296,270,24,8
1,1,326,323,6,6
10,28,6671,6358,56,44
40,47,4448,4202,63,26
2,3,93,72,1,0
2,2,398,385,7,3
3,3,201,194,2,2
12,12,2484,2101,50,23
14,18,1565,1309,23,19
8,12,615,568,6,4
1,5,1344,1273,10,2
45,48,1278,1385,18,10
7,6,1444,1330,16,11
5,3,1701,1399,26,14
4,2,192,172,3,1
21,24,1373,1232,36,29
20,21,447,393,13,9
24,28,1617,1380,58,27
12,16,926,810,27,14
9,9,128,115,2,2
4,4,2778,2654,43,32
13,13,115,80,4,2
8,18,323,304,5,4
5,7,214,192,0,0
10,9,2947,2775,27,7
17,17,539,503,7,6
0,0,1191,1162,7,8
14,33,2830,2595,65,39
37,45,1317,1280,63,59
0,0,370,300,13,4
23,28,3929,3340,80,42
0,0,271,202,21,1
5,5,372,333,3,3
25,22,1722,1682,14,8
3,3,127,109,1,0
24,42,1599,1540,35,20
0,1,465,381,7,0
18,22,2316,2125,24,13
1,2,2,2,0,0
3,2,67,63,1,0
5,6,786,712,9,5
16,19,770,734,9,4
19,22,513,504,2,0
3,5,58,52,1,0
1,1,45,40,0,0
33,35,2196,1992,22,12
17,21,972,850,16,9
30,31,3675,3236,48,42
6,5,619,561,19,10
4,4,1027,924,3,3
0,0,297,273,25,8
1,1,342,325,6,4
11,29,6745,6320,56,40
42,48,4552,4284,47,23
2,2,94,74,1,0
2,3,371,363,8,5
5,5,206,199,3,3
13,13,2540,2128,49,24
13,16,1581,1328,25,16
11,14,633,565,7,4
1,6,1397,1308,10,0
45,48,1251,1359,11,7
9,9,1569,1424,18,13
2,2,1680,1388,19,14
1,2,202,169,1,1
21,26,1395,1252,30,27
19,21,432,384,10,9
24,30,1634,1368,66,28
10,16,934,811,18,13
10,10,127,120,1,1
4,5,2841,2667,70,38
15,15,115,83,3,1
8,18,312,302,3,3
5,7,234,202,0,0
11,10,2979,2785,27,4
17,17,586,512,14,6
0,0,1253,1131,4,6
15,35,2817,2556,65,41
38,45,1286,1265,69,64
1,0,377,307,6,1
23,29,3935,3480,75,40
0,0,272,201,18,4
5,5,352,319,3,3
27,24,1808,1698,9,7
2,3,121,99,4,2
26,45,1584,1516,17,9
1,2,501,394,12,0
21,22,2367,2117,20,13
1,2,2,2,0,0
2,2,68,65,1,1
8,10,832,725,22,2
10,15,778,730,11,4
20,23,554,509,0,0
3,5,62,54,3,3
1,1,42,39,0,0
34,35,2146,1985,25,15
16,20,997,851,18,6
30,31,3771,3323,62,38
6,5,639,580,28,18
4,4,1055,949,6,4
0,0,322,272,31,9
1,1,347,318,5,3
11,30,6808,6349,64,44
42,48,4633,4370,62,26
2,2,92,75,1,0
2,3,365,351,10,7
5,5,222,219,5,4
12,13,2565,2143,48,24
14,19,1585,1351,23,15
12,15,636,577,4,3
1,5,1408,1325,7,2
44,48,1292,1390,8,5
10,11,1595,1421,15,12
3,3,1697,1404,30,14
2,4,193,170,1,1
23,26,1392,1274,34,29
19,21,443,383,12,10
24,33,1691,1412,80,31
11,16,926,805,20,17
9,10,120,112,1,1
4,6,2844,2685,67,42
15,15,109,82,1,1
8,19,318,301,7,5
6,8,258,212,0,0
10,10,3036,2806,37,11
16,16,579,509,10,6
0,0,1252,1153,6,6
17,34,2924,2632,81,43
37,45,1320,1268,72,65
1,1,391,308,6,3
23,28,3992,3503,73,42
0,0,266,199,20,4
6,6,368,335,2,2
27,24,1818,1705,9,4
1,2,119,98,5,3
27,46,1596,1549,17,10
1,2,513,398,14,0
21,22,2414,2138,17,11
1,2,3,3,0,0
2,2,64,61,0,0
9,12,816,695,20,2
10,16,764,703,13,3
19,23,572,529,1,0
3,5,63,52,3,3
1,1,39,37,0,0
34,36,2249,2070,26,16
18,21,1034,891,18,3
28,31,3915,3440,60,35
7,6,661,607,23,16
4,4,1099,982,6,4
0,0,346,286,29,12
1,1,343,308,6,3
10,28,7004,6523,64,54
43,49,4831,4600,82,28
3,3,92,76,0,0
3,4,376,368,12,8
5,5,219,215,4,3
12,12,2681,2254,40,23
14,17,1636,1433,21,13
11,15,657,595,2,1
2,6,1496,1389,21,4
44,48,1346,1452,12,6
10,10,1634,1456,19,12
3,2,1825,1480,26,17
4,3,206,179,1,1
24,26,1429,1315,31,30
19,22,498,411,14,14
26,35,1736,1474,70,31
10,14,961,833,20,16
9,9,109,104,2,2
5,6,2940,2780,62,35
15,15,120,91,3,2
9,19,345,324,5,5
6,7,252,214,0,0
9,10,3192,2945,43,12
17,17,616,555,11,9
0,0,1249,1220,5,9
16,34,3057,2798,114,42
38,47,1370,1337,70,66
2,1,395,305,4,2
25,31,4244,3725,68,39
0,0,271,200,19,4
6,6,380,348,2,2
27,24,1888,1799,6,3
2,2,139,113,6,3
27,46,1691,1650,24,20
1,2,520,415,14,0
20,22,2492,2224,19,12
1,2,4,4,0,0
3,2,61,59,0,0
5,8,848,708,25,4
12,18,800,767,7,3
22,23,595,551,7,1
3,5,63,55,3,3
1,1,43,38,1,0
36,39,2386,2213,27,15
18,20,1100,948,18,4
28,31,4046,3556,49,35
7,6,691,620,26,15
4,4,1123,1005,8,5
0,0,303,282,32,11
0,0,351,320,4,2
9,27,7262,6762,71,57
42,49,4994,4748,70,29
3,3,105,88,3,1
3,4,392,379,5,4
5,5,219,212,5,4
11,13,2823,2333,51,28
14,17,1709,1471,22,16
13,17,668,610,3,2
2,7,1588,1487,15,2
44,48,1375,1888,9,6
12,12,1673,1486,18,16
5,3,1888,1510,24,14
3,3,209,178,2,1
23,26,1517,1382,21,21
19,20,520,440,17,14
26,33,1799,1530,72,34
12,17,966,835,21,12
10,9,113,103,2,2
6,6,3107,2953,64,37
18,16,120,90,1,1
9,19,353,337,7,5
6,7,254,215,1,1
9,9,3218,2956,43,14
19,18,625,559,15,7
0,0,1296,1259,6,10
19,38,3201,2942,71,42
38,48,1433,1403,76,73
2,1,400,314,10,3
23,29,4402,3823,76,46
0,0,271,216,25,4
6,6,372,339,2,2
26,23,1942,1858,8,5
3,3,146,118,5,2
25,45,1877,1774,30,24
0,1,538,429,12,0
22,24,2556,2326,21,13
1,2,7,5,0,0
2,2,60,59,0,0
7,9,797,728,24,6
12,18,830,778,7,5
22,24,631,586,11,4
3,5,70,63,3,3
1,1,42,40,0,0
36,39,2386,2214,27,20
19,20,1111,964,16,5
30,33,4146,3684,60,37
